category,job_title,company,location,email,phone,start_date,job_url
Rechtsanwaltsfachangestellte/r,"Ausbildung zum Rechtsanwaltsfachangestellten (m/w/d)
Dr. SchwarzPartners GmbH
Premium
01.09.2026
90762 Fürth
1.100 – 1.300 €
1100 bis 1300 €
Duale Ausbildung
4 freie Stellen",Dr. SchwarzPartners GmbH,N/A,claudia.helm@schwarzpartners.de,026 90402,2026-02-25,https://www.azubi.de/ausbildungsplatz/10383932-p-ausbildung-zum-rechtsanwaltsfachangestellten-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung zum/zur Rechtsanwaltsfachangestellten (m/w/d) München
LUTZ | ABEL Rechtsanwalts PartG mbB
Premium
01.09.2026
80333 München
1.100 – 1.300 €
1100 bis 1300 €
Schnellbewerbung
Duale Ausbildung",LUTZ | ABEL Rechtsanwalts PartG mbB,N/A,bewerbung@lutzabel.com,+49 89 544 147-0,2026-02-25,https://www.azubi.de/ausbildungsplatz/11292297-p-ausbildung-zum-zur-rechtsanwaltsfachangestellten-m-w-d-muenchen
Rechtsanwaltsfachangestellte/r,"Ausbildung zum Rechtsanwaltsfachangestellten (m/w/d)
MLP SE
01.09.2026
69168 Wiesloch
Duale Ausbildung",MLP Finanzberatung SE,N/A,navig@or.userlanguage,026 69168,2026-02-24,https://www.azubi.de/ausbildungsplatz/11281095-s-ausbildung-zum-rechtsanwaltsfachangestellten-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung Rechtsanwaltsfachangestellte/r (m/w/d)
ATG Allgäuer Treuhand GmbH Wirtschaftsprüfungsgesellschaft
01.09.2026
87435 Kempten
Schnellbewerbung
Duale Ausbildung",ATG Allgäuer Treuhand GmbH Wirtschaftsprüfungsgesellschaft,N/A,navig@or.userlanguage,026 87435,2026-02-21,https://www.azubi.de/ausbildungsplatz/11492486-s-ausbildung-rechtsanwaltsfachangestellte-r-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung Rechtsanwaltsfachangestellte/r
F.E.L.S Rechtsanwälte Bayreuth PartG mbB
01.09.2026
95444 Bayreuth
Schnellbewerbung
Duale Ausbildung
6 freie Stellen",F.E.L.S Rechtsanwälte Bayreuth PartG mbB,N/A,navig@or.userlanguage,026 95444,2026-02-17,https://www.azubi.de/ausbildungsplatz/11336296-s-ausbildung-rechtsanwaltsfachangestellte-r
Rechtsanwaltsfachangestellte/r,"Ausbildung zur Rechtsanwaltsfachangestellten (m/w/x). Starte Deine Karriere mit einer Ausbildung!
horak Rechtsanwälte Partnersch aft mbB
02.03.2025
30159 Hannover
Neu
Duale Ausbildung",horak Rechtsanwälte Partnersch aft mbB,N/A,navig@or.userlanguage,025 30159,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642275-b-ausbildung-zur-rechtsanwaltsfachangestellten-m-w-x-starte-deine-karriere-mit-einer-ausbildung
Rechtsanwaltsfachangestellte/r,"Rechtsanwaltsfachangestellte/r
Stefan Huschke Rechtsanwalt
01.08.2026
65189 Wiesbaden
Neu
Duale Ausbildung",Stefan Huschke Rechtsanwalt,N/A,navig@or.userlanguage,026 65189,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642410-b-rechtsanwaltsfachangestellte-r
Rechtsanwaltsfachangestellte/r,"Rechtsanwaltsfachangestellte/r (m/w/d)
Dr. jur. Nicole A. Langen Rechtsanwältin Langen
01.09.2026
50672 Köln
Neu
Duale Ausbildung",Dr. jur. Nicole A. Langen Rechtsanwältin Langen,N/A,navig@or.userlanguage,026 50679,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638740-b-rechtsanwaltsfachangestellte-r-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildungsplatz als Rechtsanwaltsfachangestellte:r (m/w/d)
activeLAW Rechtsanwälte Offenhausen.Wolter Part mbB
01.08.2026
30173 Hannover
Duale Ausbildung",activeLAW Rechtsanwälte Offenhausen.Wolter Part mbB,N/A,job@activelaw.de,0511 54747 284,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638786-b-ausbildungsplatz-als-rechtsanwaltsfachangestellte-r-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung zur/m Rechtsanwaltsfachangestellte/-r bei Brinkmann Rechtsanwälte
Brinkmann Kanzlei
24.02.2026
50670 Köln
Duale Ausbildung",Brinkmann Kanzlei,N/A,navig@or.userlanguage,0221 91395790,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632400-b-ausbildung-zur-m-rechtsanwaltsfachangestellte-r-bei-brinkmann-rechtsanwaelte
Rechtsanwaltsfachangestellte/r,"Ausbildungsplatz zum Rechtsanwaltsfachangestellten (m/w/d)
Alberter & Kollegen Rechtsanwälte u. Steuerberater
01.09.2026
95028 Hof, Saale
Duale Ausbildung",Alberter &amp; Kollegen Rechtsanwälte u. Steuerberater,N/A,navig@or.userlanguage,026 95028,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622528-b-ausbildungsplatz-zum-rechtsanwaltsfachangestellten-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung RA-Fachangestellte (m/w/d)
Barthel, Carl Alexander
20.02.2026
50829 Köln, Bergheim, Erft
Duale Ausbildung","Barthel, Carl Alexander",N/A,navig@or.userlanguage,026 50679,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622509-b-ausbildung-ra-fachangestellte-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung Rechtsanwaltsfachangestellter (m/w/d) 2023
Ulf Schwerd Rechtsanwaltskanzlei
01.08.2026
06108 Halle (Saale)
Duale Ausbildung",Ulf Schwerd Rechtsanwaltskanzlei,N/A,info@bastam-schwerd.de,026 06108,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622444-b-ausbildung-rechtsanwaltsfachangestellter-m-w-d-2023
Rechtsanwaltsfachangestellte/r,"Wir bieten einen Ausbildungsplatz für Rechtsanwaltsfachangestellte an
RAe Pick + Kampschulte
01.08.2026
66482 Zweibrücken, Pfalz
Duale Ausbildung",RAe Pick + Kampschulte,N/A,navig@or.userlanguage,026 66123,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622507-b-wir-bieten-einen-ausbildungsplatz-fuer-rechtsanwaltsfachangestellte-an
Rechtsanwaltsfachangestellte/r,"Auszubildende*r (m/w/d) zur/zum Rechtsanwaltsfachangestellten
Janina Grothe
01.08.2026
24232 Schönkirchen, Holstein
Duale Ausbildung",Janina Grothe,N/A,kontakt@anwaltskanzlei-grothe.de,026 24232,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622468-b-auszubildende-r-m-w-d-zur-zum-rechtsanwaltsfachangestellten
Rechtsanwaltsfachangestellte/r,"Ausbildung Rechtsanwaltsfachangestellte/r (m/w/d) ab sofort
Dr. jur. Morten A. Michel Rechtsanwalt
19.02.2026
51105 Köln
Duale Ausbildung",Dr. jur. Morten A. Michel Rechtsanwalt,N/A,info@radrmmichel.de,026 50679,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619215-b-ausbildung-rechtsanwaltsfachangestellte-r-m-w-d-ab-sofort
Rechtsanwaltsfachangestellte/r,"Ausbildung 2026
Jörg Flashar Rechtsanwalt
01.08.2026
34119 Kassel, Hessen
Duale Ausbildung",Jörg Flashar Rechtsanwalt,N/A,navig@or.userlanguage,026 34131,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616685-b-ausbildung-2026
Rechtsanwaltsfachangestellte/r,"Ausbildungsplatz für Rechtsanwaltsfachangestellte 2026 (m/w/d)
Yvonne Meßinger
01.09.2026
90402 Nürnberg, Mittelfranken
Duale Ausbildung",Yvonne Meßinger,N/A,info@kanzlei-messinger.de,026 90762,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614314-b-ausbildungsplatz-fuer-rechtsanwaltsfachangestellte-2026-m-w-d
Rechtsanwaltsfachangestellte/r,"Ausbildung 2026!
Dr.Gerold Papsch & Collegen Rechtsanwälte GbR
17.02.2026
30419 Hannover
Duale Ausbildung",Dr.Gerold Papsch &amp; Collegen Rechtsanwälte GbR,N/A,navig@or.userlanguage,025 30159,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614442-b-ausbildung-2026
Rechtsanwaltsfachangestellte/r,"Ausbildungsbildungsplatz in Essen ab 1.8.2026
Dr. Heribert Leineweber
01.08.2026
45127 Essen, Ruhr
Duale Ausbildung",Dr. Heribert Leineweber,N/A,navig@or.userlanguage,026 44787,2026-02-18,https://www.azubi.de/ausbildungsplatz/11608779-b-ausbildungsbildungsplatz-in-essen-ab-1-8-2026
Rechtsanwaltsfachangestellte/r,"Ausbildung 2026
Ehrhardt & Kreyer
01.08.2026
44789 Bochum
Duale Ausbildung",Ehrhardt &amp; Kreyer,N/A,kanzlei@bochum-recht.de,026 44787,2026-02-14,https://www.azubi.de/ausbildungsplatz/11571817-b-ausbildung-2026
Rechtsanwaltsfachangestellte/r,"Auszubildende/r zur/zum Rechtsanwaltsfachangestellten (m/w/d)
Christopher Liebig Rechtsanwalt
01.08.2026
44787 Bochum
Duale Ausbildung",Christopher Liebig Rechtsanwalt,N/A,info@migrationsrecht-bochum.de,026 44787,2026-02-14,https://www.azubi.de/ausbildungsplatz/11571633-b-auszubildende-r-zur-zum-rechtsanwaltsfachangestellten-m-w-d
Rechtsanwaltsfachangestellte/r,"Auszubildende/n als Rechtsanwaltsfachangestellte/n (m/w/d)
Markus Gerd Krämer
01.08.2026
53113 Bonn
Duale Ausbildung",Markus Gerd Krämer,N/A,navig@or.userlanguage,026 53840,2026-02-13,https://www.azubi.de/ausbildungsplatz/11560479-b-auszubildende-n-als-rechtsanwaltsfachangestellte-n-m-w-d
Rechtsanwaltsfachangestellte/r,"Wir suchen DICH!
Luppert Rechtsanwälte Dr. Jürgen Luppert
01.09.2026
76870 Kandel, Pfalz
Duale Ausbildung",Luppert Rechtsanwälte Dr. Jürgen Luppert,N/A,karriere@luppert.de,026 76185,2026-02-12,https://www.azubi.de/ausbildungsplatz/11554416-b-wir-suchen-dich
