category,job_title,company,location,email,phone,start_date,job_url
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker 2026 (m/w/d)
SMS group GmbH
Premium
01.09.2026
57271 Hilchenbach
1.242 – 1.485 €
1242 bis 1485 €
Duale Ausbildung",SMS group GmbH,N/A,navig@or.language,+49 2733 29-2506,2026-02-23,https://www.azubi.de/ausbildungsplatz/10372842-p-ausbildung-zum-zerspanungsmechaniker-2026-m-w-d
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker (m/w/d)
TESCOM EUROPE GMBH & CO.KG
Premium
01.08.2026
23923 Selmsdorf
Duale Ausbildung",TESCOM EUROPE GMBH &amp; CO.KG,N/A,navig@or.language,026 23689,2026-02-23,https://www.azubi.de/ausbildungsplatz/11044051-p-ausbildung-zum-zerspanungsmechaniker-m-w-d
Zerspanungsmechaniker/in,"Ausbildung als Zerspanungsmechaniker/in (m/w/d)
Gustav Klauke GmbH
Premium
01.09.2026
42855 Remscheid
1.242 – 1.485 €
1242 bis 1485 €
Neu
Schnellbewerbung
Duale Ausbildung",Gustav Klauke GmbH,N/A,navig@or.language,026 42855,2026-02-26,https://www.azubi.de/ausbildungsplatz/11065334-p-ausbildung-als-zerspanungsmechaniker-in-m-w-d
Zerspanungsmechaniker/in,"Auszubildende als Zerspanungsmechaniker (m/w/d)
Howmet Fastening Systems / Fairchild Fasteners Europe - Camloc GmbH
Premium
01.08.2026
65779 Kelkheim (Taunus)
Neu
Duale Ausbildung",Howmet Fastening Systems / Fairchild Fasteners Europe - Camloc GmbH,N/A,howmetkel@howmet.com,+49 6195 805-270,2026-02-27,https://www.azubi.de/ausbildungsplatz/11491774-p-auszubildende-als-zerspanungsmechaniker-m-w-d
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker (m/w/d) ab 01.09.2026
STIEBEL ELTRON GmbH & Co. KG
Premium
01.09.2026
37603 Holzminden
1.264 – 1.509 €
1264 bis 1509 €
Neu
Duale Ausbildung",STIEBEL ELTRON GmbH &amp; Co. KG,N/A,navig@or.language,05531 702 96261,2026-02-26,https://www.azubi.de/ausbildungsplatz/10809380-p-ausbildung-zum-zerspanungsmechaniker-m-w-d-ab-01-09-2026
Zerspanungsmechaniker/in,"Zerspanungsmechaniker (w/m/d) 2026
Siemens AG
01.09.2026
91207 Lauf an der Pegnitz
Neu
Duale Ausbildung",Siemens AG,N/A,navig@or.language,026 90461,2026-02-27,https://www.azubi.de/ausbildungsplatz/10279029-s-zerspanungsmechaniker-w-m-d-2026
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker - Drehmaschinensysteme ab 2026 (m/w/d)
Rheinmetall Waffe Munition GmbH
11.08.2026
29345 Unterlüß (29345)
Neu
Duale Ausbildung
4 freie Stellen",Rheinmetall,N/A,navig@or.language,026 29345,2026-02-27,https://www.azubi.de/ausbildungsplatz/11560759-s-ausbildung-zum-zerspanungsmechaniker-drehmaschinensysteme-ab-2026-m-w-d
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker (m/w/d) | Fachrichtung Drehautomatensysteme 2026
Wiha Werkzeuge GmbH
01.09.2026
78087 Mönchweiler
Neu
Duale Ausbildung",Wiha Werkzeuge GmbH,N/A,navig@or.language,026 78056,2026-02-27,https://www.azubi.de/ausbildungsplatz/10436409-s-ausbildung-zum-zerspanungsmechaniker-m-w-d-fachrichtung-drehautomatensysteme-2026
Zerspanungsmechaniker/in,"Ausbildung Zerspanungsmechaniker (m/w/div.)
Bosch Rexroth AG
01.09.2026
97816 Lohr am Main
Neu
Duale Ausbildung",Bosch Rexroth AG,N/A,navig@or.language,026 97816,01.09.2026,https://www.azubi.de/ausbildungsplatz/10001763-s-ausbildung-zerspanungsmechaniker-m-w-div
Zerspanungsmechaniker/in,"Auszubildender Zerspanungsmechaniker (m/w/d) 2026 in Neuhaus am Rennweg
Saint-Gobain Performance Plastics L+S GmbH
01.08.2026
98724 Neuhaus am Rennweg (98724)
Neu
Duale Ausbildung",Compagnie de Saint-Gobain Zweigniederlassung Deutschland,N/A,navig@or.language,026 98673,2026-02-27,https://www.azubi.de/ausbildungsplatz/11560695-s-auszubildender-zerspanungsmechaniker-m-w-d-2026-in-neuhaus-am-rennweg
Zerspanungsmechaniker/in,"Ausbildung zum/zur Zerspanungsmechaniker/in (m/w/d) Fachrichtung Drehmaschinensysteme
Amandus Kahl GmbH & Co. KG
01.08.2026
21465 Reinbek
Neu
Duale Ausbildung",Amandus Kahl GmbH &amp; Co. KG,N/A,personal@amandus-kahl-group.de,040-72771-191,2026-02-27,https://www.azubi.de/ausbildungsplatz/10709197-s-ausbildung-zum-zur-zerspanungsmechaniker-in-m-w-d-fachrichtung-drehmaschinensysteme
Zerspanungsmechaniker/in,"Auszubildende zum Zerspanungsmechaniker (m/w/d) 2026
Yamaichi Electronics Deutschland GmbH
01.08.2026
15236 Frankfurt (Oder)
Neu
Duale Ausbildung",Yamaichi Electronics Deutschland GmbH,N/A,navig@or.language,026 15890,2026-02-27,https://www.azubi.de/ausbildungsplatz/10709151-s-auszubildende-zum-zerspanungsmechaniker-m-w-d-2026
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker (m/w/d) in der Medizintechnik
LivaNova
01.09.2026
80939 München
Neu
Schnellbewerbung
Duale Ausbildung",LivaNova Deutschland GmbH,N/A,navig@or.language,0867771,2026-02-27,https://www.azubi.de/ausbildungsplatz/11560664-s-ausbildung-zum-zerspanungsmechaniker-m-w-d-in-der-medizintechnik
Zerspanungsmechaniker/in,"Ausbildung Zerspanungsmechanik - 2026
ASML Berlin GmbH
01.09.2026
12347 Berlin
Neu
Duale Ausbildung
4 freie Stellen",ASML Berlin GmbH,N/A,navig@or.language,026 13355,2026-02-26,https://www.azubi.de/ausbildungsplatz/10603122-s-ausbildung-zerspanungsmechanik-2026
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker (m/w/d)
G.RAU GmbH & Co. KG.
01.09.2026
75172 Pforzheim
Neu
Duale Ausbildung",G. Rau GmbH &amp; Co. KG,N/A,navig@or.language,07231-208-352,2026-02-26,https://www.azubi.de/ausbildungsplatz/10700629-s-ausbildung-zum-zerspanungsmechaniker-m-w-d
Zerspanungsmechaniker/in,"Ausbildung: Zerspanungsmechaniker
Getriebebau NORD GmbH & Co. KG
01.09.2026
22941 Bargteheide
Duale Ausbildung
3 freie Stellen",Getriebebau NORD GmbH &amp; Co. KG,N/A,navig@or.language,026 22949,2026-02-26,https://www.azubi.de/ausbildungsplatz/9734727-s-ausbildung-zerspanungsmechaniker
Zerspanungsmechaniker/in,"Ausbildung zum Zerspanungsmechaniker (m/w/d)
Knorr-Bremse Berlin - Systeme für Schienenfahrzeuge GmbH
01.09.2026
12681 Berlin-Marzahn
Duale Ausbildung
5 freie Stellen",Knorr-Bremse Berlin - Systeme für Schienenfahrzeuge GmbH,N/A,navig@or.language,+49 30 9392-2229,2026-02-26,https://www.azubi.de/ausbildungsplatz/10521484-s-ausbildung-zum-zerspanungsmechaniker-m-w-d
