category,job_title,company,location,email,phone,start_date,job_url
Konstruktionsmechaniker/in,"Ausbildung Konstruktionsmechaniker:in 2026
Deutsche Bahn AG
Premium
10.08.2026
Hanau
Duale Ausbildung
Teilzeit",Deutsche Bahn AG,N/A,navig@or.language,026 60386,21.08.2026,https://www.azubi.de/ausbildungsplatz/11285588-p-ausbildung-konstruktionsmechaniker-in-2026
Konstruktionsmechaniker/in,"Ausbildung zum Konstruktionsmechaniker (m/w/d) - Einsatzgebiet Schweißtechnik
Lürssen Werft Bremen GmbH & Co. KG
Premium
01.08.2026
27809 Lemwerder
Duale Ausbildung",Lürssen Werft Bremen GmbH &amp; Co. KG,N/A,vivian.koch@lurssen.com,026 27809,2026-02-23,https://www.azubi.de/ausbildungsplatz/11513448-p-ausbildung-zum-konstruktionsmechaniker-m-w-d-einsatzgebiet-schweisstechnik
Konstruktionsmechaniker/in,"Auszubildender Konstruktionsmechaniker für Schweißtechnik (m/w/d)
HC Hagemann GmbH & Co. KG
Premium
01.08.2026
21079 Hamburg
1.122 – 0 €
1122 bis 0 €
Schnellbewerbung
Duale Ausbildung",HC Hagemann GmbH &amp; Co. KG,N/A,navig@or.language,040-766007-884,2026-02-25,https://www.azubi.de/ausbildungsplatz/11287820-p-auszubildender-konstruktionsmechaniker-fuer-schweisstechnik-m-w-d
Konstruktionsmechaniker/in,"Auszubildende / Auszubildenden (m/w/d) zur Konstruktionsmechanikerin / zum Konstruktionsmechaniker (m/w/d)
Wasserstraßen- und Schifffahrtsverwaltung des Bundes (WSV)
Premium
01.08.2026
27318 Hoya
1.368 – 1.527 €
1368 bis 1527 €
Neu
Duale Ausbildung",Wasserstraßen- und Schifffahrtsverwaltung des Bundes (WSV),N/A,navig@or.language,0260197,2026-02-27,https://www.azubi.de/ausbildungsplatz/11565878-p-auszubildende-auszubildenden-m-w-d-zur-konstruktionsmechanikerin-zum-konstruktionsmechaniker-m-w-d
Konstruktionsmechaniker/in,"Ausbildung zum Konstruktionsmechaniker (m/w/d) 2026
Otto Building Technologies GmbH
Premium
01.08.2026
57319 Bad Berleburg
1.090 – 1.390 €
1090 bis 1390 €
Duale Ausbildung",Otto Building Technologies GmbH,N/A,navig@or.language,+49 271 387851-280,2026-02-23,https://www.azubi.de/ausbildungsplatz/10734515-p-ausbildung-zum-konstruktionsmechaniker-m-w-d-2026
Konstruktionsmechaniker/in,"Ausbildung zum Konstruktionsmechaniker (m/w/d) - Einsatzgebiet Schiffbau
Lürssen Werft Bremen GmbH & Co. KG
Premium
01.08.2026
27809 Lemwerder
Duale Ausbildung",Lürssen Werft Bremen GmbH &amp; Co. KG,N/A,navig@or.language,026 27809,2026-02-23,https://www.azubi.de/ausbildungsplatz/11513445-p-ausbildung-zum-konstruktionsmechaniker-m-w-d-einsatzgebiet-schiffbau
Konstruktionsmechaniker/in,"Ausbildung als Konstruktionsmechaniker:in (d/m/w) 2026
Stadtwerke Verkehrsgesellschaft Frankfurt am Main mbH
Premium
21.08.2026
Frankfurt am Main
1.293 – 1.452 €
1293 bis 1452 €
Duale Ausbildung
2 freie Stellen",Stadtwerke Verkehrsgesellschaft Frankfurt am Main mbH,N/A,navig@or.language,013 25761,2026-02-23,https://www.azubi.de/ausbildungsplatz/10844684-p-ausbildung-als-konstruktionsmechaniker-in-d-m-w-2026
Konstruktionsmechaniker/in,"Ausbildung zum/zur Konstruktionsmechaniker/in (m/w/d)
Amandus Kahl GmbH & Co. KG
01.08.2026
21465 Reinbek
Neu
Duale Ausbildung",Amandus Kahl GmbH &amp; Co. KG,N/A,personal@amandus-kahl-group.de,040-72771-191,2026-02-27,https://www.azubi.de/ausbildungsplatz/10709202-s-ausbildung-zum-zur-konstruktionsmechaniker-in-m-w-d
Konstruktionsmechaniker/in,"Ausbildung zum Konstruktionsmechaniker (w/m/d) 2026
Heidelberg Materials AG
01.08.2026
76287 Rheinstetten
Neu
Duale Ausbildung",Heidelberg Materials AG,N/A,navig@or.language,06221 481 46198,2026-02-27,https://www.azubi.de/ausbildungsplatz/10436412-s-ausbildung-zum-konstruktionsmechaniker-w-m-d-2026
Konstruktionsmechaniker/in,"Ausbildung Konstruktionsmechaniker (m/w/d)
Kurt Willig GmbH & Co. KG
01.09.2026
94315 Straubing, Hunderdorf
Neu
Schnellbewerbung
Duale Ausbildung
4 freie Stellen",Kurt Willig GmbH &amp; Co. KG,N/A,ausbildung@willig.eu,026 94315,2026-02-27,https://www.azubi.de/ausbildungsplatz/10527906-s-ausbildung-konstruktionsmechaniker-m-w-d
Konstruktionsmechaniker/in,"Auszubildende zum Konstruktionsmechaniker (m/w/d)
Stöbich Holding GmbH & Co. KG
01.08.2026
38644 Goslar
Neu
Schnellbewerbung
Duale Ausbildung",Stöbich Holding GmbH &amp; Co. KG,N/A,navig@or.language,026 38259,2026-02-26,https://www.azubi.de/ausbildungsplatz/11125312-s-auszubildende-zum-konstruktionsmechaniker-m-w-d
Konstruktionsmechaniker/in,"Ausbildung zum Konstruktionsmechaniker ab 2026 (m/w/d)
Rheinmetall Landsysteme GmbH
01.08.2026
29345 Unterlüß (29345)
Duale Ausbildung
2 freie Stellen",Rheinmetall,N/A,navig@or.language,026 29345,2026-02-25,https://www.azubi.de/ausbildungsplatz/11392115-s-ausbildung-zum-konstruktionsmechaniker-ab-2026-m-w-d
Konstruktionsmechaniker/in,"Konstruktionsmechaniker (w/m/d) 2026
Siemens AG
01.09.2026
60386 Frankfurt am Main
Duale Ausbildung",Siemens AG,N/A,navig@or.language,026 64832,2026-02-25,https://www.azubi.de/ausbildungsplatz/10111674-s-konstruktionsmechaniker-w-m-d-2026
Konstruktionsmechaniker/in,"Ausbildung Konstruktionsmechanikerin/Konstruktionsmechaniker (m/w/d)
Bundeswehr
01.08.2027
39524 Klietz
Duale Ausbildung
Vollzeit/Teilzeit",Bundeswehr,N/A,bwdlzburgausbildung@bundeswehr.org,025-00009087,2026-02-25,https://www.azubi.de/ausbildungsplatz/11117531-s-ausbildung-konstruktionsmechanikerin-konstruktionsmechaniker-m-w-d
Konstruktionsmechaniker/in,"Ausbildung Konstruktionsmechanikerin/Konstruktionsmechaniker (m/w/d)
Bundeswehr
01.09.2027
17358 Torgelow
Duale Ausbildung
Vollzeit/Teilzeit
3 freie Stellen",Bundeswehr,N/A,bwdlztorgelowausbildung@bundeswehr.org,025-00007363,2026-02-24,https://www.azubi.de/ausbildungsplatz/10787203-s-ausbildung-konstruktionsmechanikerin-konstruktionsmechaniker-m-w-d
Konstruktionsmechaniker/in,"Ausbildung 2026 - Konstruktionsmechaniker: in (m/w/d)
Züblin Stahlbau GmbH, Bahnhofstrasse 13, 01996 Hosena
01.09.2026
01996 Hosena
Duale Ausbildung",STRABAG AG,N/A,navig@or.language,025 01917,2026-02-21,https://www.azubi.de/ausbildungsplatz/10578148-s-ausbildung-2026-konstruktionsmechaniker-in-m-w-d
Konstruktionsmechaniker/in,"Ausbildung zum Konstruktionsmechaniker m/w/d 2026
SPIE Germany Switzerland Austria GmbH
01.08.2026
84030 Ergolding
Duale Ausbildung
4 freie Stellen",SPIE Deutschland &amp; Zentraleuropa,N/A,kommunik@ion.mehr,025-2198,2026-02-20,https://www.azubi.de/ausbildungsplatz/10870874-s-ausbildung-zum-konstruktionsmechaniker-m-w-d-2026
