category,job_title,company,location,email,phone,start_date,job_url
Tiermedizinische/r Fachangestellte/r,"Ausbildung Tiermedizinische/r Fachangestellte/r m/w/d 2026
Dr. Christina Nees
01.08.2026
64823 Groß-Umstadt
Neu
Duale Ausbildung",Dr. Christina Nees,N/A,tcd@a.customvendorconsents,026 63069,2026-02-26,https://www.azubi.de/ausbildungsplatz/11634871-b-ausbildung-tiermedizinische-r-fachangestellte-r-m-w-d-2026
Tiermedizinische/r Fachangestellte/r,"TIERMEDIZINISCHE/R FACHANGESTELLE/R - Ausbildung 2026
Tierklinik Lüsche GmbH
01.08.2026
49456 Bakum, Kreis Vechta
Duale Ausbildung",Tierklinik Lüsche GmbH,N/A,karriere@tierklinik-luesche.de,026 49429,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614380-b-tiermedizinische-r-fachangestelle-r-ausbildung-2026
Tiermedizinische/r Fachangestellte/r,"Ausbildung zur Tiermedizinischen Fachangestellten
AniCura Mönchengladbach-Venn GmbH
01.08.2026
41066 Mönchengladbach
Duale Ausbildung",AniCura Mönchengladbach-Venn GmbH,N/A,tcd@a.customvendorconsents,026 41061,2026-02-12,https://www.azubi.de/ausbildungsplatz/11554395-b-ausbildung-zur-tiermedizinischen-fachangestellten
Tiermedizinische/r Fachangestellte/r,"Ausbildung zum/r Tiermedizinische/r Fachangestellte/r (m/w/d)
Tierärzte-Team Dreieich GmbH
01.09.2026
63303 Dreieich
Duale Ausbildung",Tierärzte-Team Dreieich GmbH,N/A,info@tierarzt-dreieich.de,026 63069,2026-02-08,https://www.azubi.de/ausbildungsplatz/11505612-b-ausbildung-zum-r-tiermedizinische-r-fachangestellte-r-m-w-d
Tiermedizinische/r Fachangestellte/r,"Ausbildung 2026
Thierbach & Wanschura GbR
01.08.2026
48527 Nordhorn
Duale Ausbildung",Thierbach &amp; Wanschura GbR,N/A,rechnungen@kleintierpraxisnordhorn.de,+495921330100,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475457-b-ausbildung-2026
Tiermedizinische/r Fachangestellte/r,"Kleintierpraxis zentrumsnah bietet Ausbildungsplatz
Anja Schmidt Tierarztpraxis
01.09.2026
58507 Lüdenscheid
Duale Ausbildung",Anja Schmidt Tierarztpraxis,N/A,info@tieraerztin-luedenscheid.de,023516717515,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475399-b-kleintierpraxis-zentrumsnah-bietet-ausbildungsplatz
Tiermedizinische/r Fachangestellte/r,"Tierliebe/r und engagierte/r Azubi (m/w/d) für Kleintierpraxis in Düsseldorf-Gerresheim gesucht
Dr. Waltraud Gauls Tierarztpraxis
03.02.2026
40625 Düsseldorf
Duale Ausbildung",Dr. Waltraud Gauls Tierarztpraxis,N/A,gauzi@t-online.de,026 45479,2026-02-05,https://www.azubi.de/ausbildungsplatz/11456964-b-tierliebe-r-und-engagierte-r-azubi-m-w-d-fuer-kleintierpraxis-in-duesseldorf-gerresheim-gesucht
Tiermedizinische/r Fachangestellte/r,"Tiermedizinische Fachangestellte (m/w/d) EQ für Ausbildung 2026
Dr. Stefanie Klingeberg
13.02.2026
31855 Aerzen
Duale Ausbildung",Dr. Stefanie Klingeberg,N/A,zav@arbeitsagentur.de,+49 (0) 228 713 1313 /,2026-02-05,https://www.azubi.de/ausbildungsplatz/11456910-b-tiermedizinische-fachangestellte-m-w-d-eq-fuer-ausbildung-2026
Tiermedizinische/r Fachangestellte/r,"Auszubildender (m/w/d) zum 01.08.2026 oder später
Gem. Praxis Brämer & Stampehl Maike Stampehl Tierarztpraxis
01.08.2026
30916 Isernhagen
Duale Ausbildung",Gem. Praxis Brämer &amp; Stampehl Maike Stampehl Tierarztpraxis,N/A,tcd@a.customvendorconsents,026 31303,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449701-b-auszubildender-m-w-d-zum-01-08-2026-oder-spaeter
Tiermedizinische/r Fachangestellte/r,"Auszubildende/n zur/zum Tiermedizinischen Fachangestellten (m/w/d)
Manfred Stoll Tierarzt
03.02.2026
65329 Hohenstein, Untertaunus
Duale Ausbildung",Manfred Stoll Tierarzt,N/A,info@pferdefit.de,06120 904050,2026-01-31,https://www.azubi.de/ausbildungsplatz/11414392-b-auszubildende-n-zur-zum-tiermedizinischen-fachangestellten-m-w-d
Tiermedizinische/r Fachangestellte/r,"Auszubildender für den Ausbildungsberuf Tiermedizinische Fachangestellter (m/w/d) gesucht
Kleintierpraxis in Burgdorf GbR
01.08.2026
31303 Burgdorf, Kreis Hannover
Duale Ausbildung",Kleintierpraxis in Burgdorf GbR,N/A,tcd@a.customvendorconsents,05136/976 66 8-0,2026-01-30,https://www.azubi.de/ausbildungsplatz/11409457-b-auszubildender-fuer-den-ausbildungsberuf-tiermedizinische-fachangestellter-m-w-d-gesucht
Tiermedizinische/r Fachangestellte/r,"Ausbildung 2026 - Tiermedizinische/r Fachangestellte/r (m/w/d) # Praktikum möglich
Dr. Carsten & Dr. Susanne Matburger Gemeinschaftspraxis Tierärzte
01.08.2026
47441 Moers
Duale Ausbildung",Dr. Carsten &amp; Dr. Susanne Matburger Gemeinschaftspraxis Tierärzte,N/A,info@kleintierpraxis-matburger.de,026 47059,2026-01-30,https://www.azubi.de/ausbildungsplatz/11409404-b-ausbildung-2026-tiermedizinische-r-fachangestellte-r-m-w-d-praktikum-moeglich
Tiermedizinische/r Fachangestellte/r,"Ausbildung - 2026 - Tiermedizinische/r Fachangestellte/r (m/w/d)
Hector Soria
01.09.2026
91301 Forchheim, Oberfranken
Duale Ausbildung",Hector Soria,N/A,tcd@a.customvendorconsents,026 91083,2026-01-28,https://www.azubi.de/ausbildungsplatz/11391843-b-ausbildung-2026-tiermedizinische-r-fachangestellte-r-m-w-d
Tiermedizinische/r Fachangestellte/r,"Azubi Tiermedizinische/r Fachangestellte/r (m/w/d) gesucht - Praktikum möglich
Tierarztpraxis Fellner GmbH
01.09.2026
85283 Wolnzach
Duale Ausbildung",Tierarztpraxis Fellner GmbH,N/A,tcd@a.customvendorconsents,026 85354,2026-01-23,https://www.azubi.de/ausbildungsplatz/11363634-b-azubi-tiermedizinische-r-fachangestellte-r-m-w-d-gesucht-praktikum-moeglich
Tiermedizinische/r Fachangestellte/r,"Voller Einsatz im Team für das Tierwohl - Ausbildung zur Tiermedizinischen Fachangestellten
Tierarztpraxis Kolbig
01.08.2026
41812 Erkelenz
Duale Ausbildung",Tierarztpraxis Kolbig,N/A,tcd@a.customvendorconsents,026 41189,2026-01-23,https://www.azubi.de/ausbildungsplatz/11363606-b-voller-einsatz-im-team-fuer-das-tierwohl-ausbildung-zur-tiermedizinischen-fachangestellten
Tiermedizinische/r Fachangestellte/r,"Tiermedizinische Fachangestellte (m/w/d) gesucht I Praktikum möglich I gerne auch Stellenwechsler
Tierarztpraxis Ebert + Evers GbR
27.01.2026
41372 Niederkrüchten
Duale Ausbildung",Tierarztpraxis Ebert + Evers GbR,N/A,gf@tierarztpraxis-ebert-evers.de,02163-942030,2026-01-21,https://www.azubi.de/ausbildungsplatz/11340308-b-tiermedizinische-fachangestellte-m-w-d-gesucht-i-praktikum-moeglich-i-gerne-auch-stellenwechsler
Tiermedizinische/r Fachangestellte/r,"Ausbildung zur Tiermedizinischen Fachangestellten (m/w/d)
Tierarztpraxis Dr. Axel Puncken
01.08.2026
24253 Passade
Duale Ausbildung",Tierarztpraxis Dr. Axel Puncken,N/A,tcd@a.customvendorconsents,026 24253,2026-01-17,https://www.azubi.de/ausbildungsplatz/11319239-b-ausbildung-zur-tiermedizinischen-fachangestellten-m-w-d
Tiermedizinische/r Fachangestellte/r,"Ausbildung 2026
Christian Staffler Tierärztliche Praxis
01.09.2026
73525 Schwäbisch Gmünd
Duale Ausbildung",Christian Staffler Tierärztliche Praxis,N/A,tcd@a.customvendorconsents,026 73525,2026-01-15,https://www.azubi.de/ausbildungsplatz/11292871-b-ausbildung-2026
Tiermedizinische/r Fachangestellte/r,"Tiermedizinische/r Fachangestellte/r
Tierärztliche Klinik für Kleintiere und Pferde Dr. med.vet. M. und H. Schwede
01.08.2026
06886 Lutherstadt Wittenberg
Duale Ausbildung",Tierärztliche Klinik für Kleintiere und Pferde Dr. med.vet. M. und H. Schwede,N/A,info@tierklinik-wittenberg.de,026 06886,2026-01-15,https://www.azubi.de/ausbildungsplatz/11292923-b-tiermedizinische-r-fachangestellte-r
Tiermedizinische/r Fachangestellte/r,"Tiermedizinsche Fachangestellte (m/w/d) ab 01.09.26 oder sofort
Tierarztpraxis Anne-Lore Seyfried
01.09.2026
88662 Überlingen, Bodensee
Duale Ausbildung",Tierarztpraxis Anne-Lore Seyfried,N/A,bernd.siebler@praxis-seyfried.de,07551-970911,2025-12-25,https://www.azubi.de/ausbildungsplatz/11177548-b-tiermedizinsche-fachangestellte-m-w-d-ab-01-09-26-oder-sofort
Tiermedizinische/r Fachangestellte/r,"2026 Ausbildung - Tiermedizinische Fachangestellte (m/w/d) - Praktikum möglich
Ralf Bandel
01.08.2026
59192 Bergkamen
Duale Ausbildung",Ralf Bandel,N/A,info@tierarzt-bandel.de,026 59174,2025-11-29,https://www.azubi.de/ausbildungsplatz/10960064-b-2026-ausbildung-tiermedizinische-fachangestellte-m-w-d-praktikum-moeglich
Tiermedizinische/r Fachangestellte/r,"Ausbildung 2026
Tierärzte IVC Evidensia GmbH
01.08.2026
45479 Mülheim an der Ruhr
Duale Ausbildung",Tierärzte IVC Evidensia GmbH,N/A,tcd@a.customvendorconsents,026 45472,2025-11-19,https://www.azubi.de/ausbildungsplatz/10901503-b-ausbildung-2026
Tiermedizinische/r Fachangestellte/r,"*Praktikum möglich* Ausbildung Tiermed.Fachangestellte/r 2026
Tierarztpraxis Poststraße Heike Stuhlmann
01.02.2026
42799 Leichlingen (Rheinland)
Duale Ausbildung",Tierarztpraxis Poststraße Heike Stuhlmann,N/A,tcd@a.customvendorconsents,026 51381,2025-11-12,https://www.azubi.de/ausbildungsplatz/10854134-b-praktikum-moeglich-ausbildung-tiermed-fachangestellte-r-2026
Tiermedizinische/r Fachangestellte/r,"Ausbildung 2026 - Ihre Chance!
Tierklinik für Naturheilkunde
01.08.2026
45472 Mülheim an der Ruhr
Duale Ausbildung",Tierklinik für Naturheilkunde,N/A,tcd@a.customvendorconsents,026 45479,2025-11-02,https://www.azubi.de/ausbildungsplatz/10819837-b-ausbildung-2026-ihre-chance
Tiermedizinische/r Fachangestellte/r,"Ausbildung Tiermedizinische/n Fachangestellte/n (m/w/d) - Praktikum möglich
Tierärztliche Klinik Dr. J. Wodecki
25.02.2026
51381 Leverkusen
Duale Ausbildung",Tierärztliche Klinik Dr. J. Wodecki,N/A,info@tierklinikleverkusen.de,026 51375,2025-10-27,https://www.azubi.de/ausbildungsplatz/10810964-b-ausbildung-tiermedizinische-n-fachangestellte-n-m-w-d-praktikum-moeglich
Tiermedizinische/r Fachangestellte/r,"Ausbildungsplatz Tiermedizinische/r Fachangestelte/r (m/w/d)
Tierklinik Ismaning GbR
01.09.2026
85737 Ismaning
Duale Ausbildung",Tierklinik Ismaning GbR,N/A,bewerbung@tierklinik-ismaning.de,026 85375,2025-10-19,https://www.azubi.de/ausbildungsplatz/10774842-b-ausbildungsplatz-tiermedizinische-r-fachangestelte-r-m-w-d
Tiermedizinische/r Fachangestellte/r,"Ausbildung als TFA (Tiermedizinische/r Fachangestellte/r) (m/w/d) 2026
Udo Brocker Tierarztpraxis
01.08.2026
41747 Viersen
Duale Ausbildung",Udo Brocker Tierarztpraxis,N/A,udo.brocker@t-online.de,026 41066,2025-10-18,https://www.azubi.de/ausbildungsplatz/10765174-b-ausbildung-als-tfa-tiermedizinische-r-fachangestellte-r-m-w-d-2026
