category,job_title,company,location,email,phone,start_date,job_url
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Sommersperger Malerei GmbH
01.09.2026
94428 Eichendorf
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",Deine Zukunft ist bunt,N/A,loc@ion.href,026 94424,2026-02-26,https://www.azubi.de/ausbildungsplatz/10121388-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Ausbildung Maler und Lackierer (m/w/d)
Johann Gottschalk GmbH
01.08.2026
28197 Bremen
Neu
Schnellbewerbung
Duale Ausbildung",HPM DIE HANDWERKSGRUPPE,N/A,loc@ion.href,026 28197,2026-02-26,https://www.azubi.de/ausbildungsplatz/10824002-s-ausbildung-maler-und-lackierer-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Malerbetrieb Tobias Weinzierl
01.08.2026
94522 Wallersdorf
Neu
Schnellbewerbung
Duale Ausbildung",Malerbetrieb Tobias Weinzierl,N/A,loc@ion.href,026 94428,01.09.2026,https://www.azubi.de/ausbildungsplatz/10121427-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Maler Hirsch GmbH
01.09.2026
94481 Grafenau
Neu
Schnellbewerbung
Duale Ausbildung",Maler Hirsch GmbH,N/A,loc@ion.href,026 94481,01.08.2026,https://www.azubi.de/ausbildungsplatz/10121482-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Reinhold Knoll GmbH
01.09.2026
81379 München
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",Reinhold Knoll GmbH,N/A,loc@ion.href,026 81369,01.09.2026,https://www.azubi.de/ausbildungsplatz/10121367-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Malerbetriebe Hülsbusch GmbH & Co. KG
01.08.2026
48151 Münster
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",Malerbetriebe Hülsbusch GmbH & Co. KG,N/A,loc@ion.href,026 48153,01.08.2026,https://www.azubi.de/ausbildungsplatz/10992000-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
KULZER, Maler- und Lackierer-Meisterbetrieb GmbH
01.08.2026
94315 Straubing
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen","KULZER, Maler- und Lackierer-Meisterbetrieb GmbH",N/A,loc@ion.href,026 94315,01.09.2026,https://www.azubi.de/ausbildungsplatz/10121425-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Anatolij Schlegel Maler und Lackierer
01.08.2026
30989 Gehrden
Neu
Schnellbewerbung
Duale Ausbildung",Anatolij Schlegel Maler und Lackierer,N/A,loc@ion.href,026 30457,01.08.2026,https://www.azubi.de/ausbildungsplatz/10351040-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
K. Margraf GmbH Malerbetrieb
01.08.2026
65933 Frankfurt am Main
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",K. Margraf GmbH Malerbetrieb,N/A,loc@ion.href,026 60318,01.09.2026,https://www.azubi.de/ausbildungsplatz/11554557-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Auszubildender Maler und Lackierer (m/w/d) für 2026 in München
B&O Service GmbH
01.09.2026
81241 München
Duale Ausbildung",B&amp;O Service AG,N/A,loc@ion.href,026 81369,2026-02-25,https://www.azubi.de/ausbildungsplatz/11548714-s-auszubildender-maler-und-lackierer-m-w-d-fuer-2026-in-muenchen
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Maler Trampel GmbH & Co. KG
01.09.2026
08468 Reichenbach
Schnellbewerbung
Duale Ausbildung",Maler Trampel GmbH & Co. KG,N/A,loc@ion.href,026 08468,25.02.2026,https://www.azubi.de/ausbildungsplatz/10344916-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Malermeister Stephan Voß
01.09.2026
24147 Kiel
Schnellbewerbung
Duale Ausbildung",Malermeister Stephan Voß,N/A,loc@ion.href,026 24103,01.09.2026,https://www.azubi.de/ausbildungsplatz/10339444-s-maler-in-und-lackierer-in-m-w-d
Maler/in und Lackierer/in,"Maler/-in und Lackierer/-in (m/w/d)
Schippers & Söhne GmbH Malerfachbetrieb
01.09.2026
13125 Berlin
Schnellbewerbung
Duale Ausbildung
5 freie Stellen",Schippers & Söhne GmbH Malerfachbetrieb,N/A,loc@ion.href,026 10115,01.09.2026,https://www.azubi.de/ausbildungsplatz/10205248-s-maler-in-und-lackierer-in-m-w-d
