category,job_title,company,location,email,phone,start_date,job_url
Koch/Köchin,"Ausbildung zum / zur Koch / Köchin
HDI Group
Premium
01.08.2026
30659 Hannover
1.455 – 1.620 €
1455 bis 1620 €
Neu
Duale Ausbildung",HDI Group,N/A,navig@or.userlanguage,026 30163,2026-02-27,https://www.azubi.de/ausbildungsplatz/10762410-p-ausbildung-zum-zur-koch-koechin
Koch/Köchin,"Ausbildung Koch:Köchin (m/w/d)
BASF
Premium
01.09.2026
76857 Albersweiler
Neu
Duale Ausbildung",BASF,N/A,lina.wehr@basf.com,+49 30 2005-56745 /,2026-02-28,https://www.azubi.de/ausbildungsplatz/11414250-p-ausbildung-koch-koechin-m-w-d
Koch/Köchin,"Auszubildende/r Koch/ Köchin (m/w/d) 2026
Nürburgring Holding GmbH, Nürburgring Hotels und Ferienpark
Premium
01.08.2026
53520 Nürburg
1.100 – 1.300 €
1100 bis 1300 €
Duale Ausbildung","Nürburgring Holding GmbH, Nürburgring Hotels und Ferienpark",N/A,navig@or.userlanguage,+49 2691 3025 451,2026-02-24,https://www.azubi.de/ausbildungsplatz/11632147-p-auszubildende-r-koch-koechin-m-w-d-2026
Koch/Köchin,"Auszubildende Koch/Köchin (m/w/d)
GM Gastromanagement GmbH
Premium
01.08.2026
10785 Berlin
1.000 – 1.250 €
1000 bis 1250 €
Schnellbewerbung
Duale Ausbildung",GM Gastromanagement GmbH,N/A,navig@or.userlanguage,026 10117,2026-02-23,https://www.azubi.de/ausbildungsplatz/11385760-p-auszubildende-koch-koechin-m-w-d
Koch/Köchin,"Ausbildung zum Koch (m/w/d) in Königswinter (2026)
Vodafone Deutschland
Premium
53639 Königswinter
Neu
Duale Ausbildung",Vodafone Deutschland,N/A,navig@or.userlanguage,026 53175,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642229-p-ausbildung-zum-koch-m-w-d-in-koenigswinter-2026
Koch/Köchin,"Ausbildung zum Koch 2026 (m/w/d)
Schwarz Corporate Solutions
Premium
01.09.2026
74172 Neckarsulm
Duale Ausbildung",Schwarz Corporate Solutions KG,N/A,navig@or.userlanguage,026 74740,2026-02-26,https://www.azubi.de/ausbildungsplatz/10823455-p-ausbildung-zum-koch-2026-m-w-d
Koch/Köchin,"Ausbildung zum Koch (w/m/d)
Sander Gourmet GmbH
01.09.2026
56291 Wiebelsheim
Neu
Duale Ausbildung",Sander Holding GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 65385,2026-02-28,https://www.azubi.de/ausbildungsplatz/11319388-s-ausbildung-zum-koch-w-m-d
Koch/Köchin,"Ausbildung zum/zur Notarfachangestellten bei Notare Martin Herrmann und Dr. Christoph Koch
Notarkasse A.d.ö.R.
01.09.2028
63785 Obernburg a. Main
Neu
Duale Ausbildung",Notarkasse A.d.ö.R.,N/A,navig@or.userlanguage,026 64823,2026-02-28,https://www.azubi.de/ausbildungsplatz/10615472-s-ausbildung-zum-zur-notarfachangestellten-bei-notare-martin-herrmann-und-dr-christoph-koch
Koch/Köchin,"Ausbildung zur/zum Köchin/ Koch (m/w/d)
Stadtreinigung Hamburg Anstalt des öffentlichen Rechts
01.08.2026
20537 Hamburg
Neu
Duale Ausbildung
Vollzeit/Teilzeit",Stadtreinigung Hamburg Anstalt des öffentlichen Rechts,N/A,navig@or.userlanguage,026 22297,2026-02-28,https://www.azubi.de/ausbildungsplatz/10827175-s-ausbildung-zur-zum-koechin-koch-m-w-d
Koch/Köchin,"Ausbildung Koch (m/w/d) Speira GmbH Standort Neuss 2026
Speira GmbH
31.08.2026
41468 Neuss
Neu
Duale Ausbildung",Speira GmbH,N/A,navig@or.userlanguage,+49 2181 477 3008,2026-02-28,https://www.azubi.de/ausbildungsplatz/10809923-s-ausbildung-koch-m-w-d-speira-gmbh-standort-neuss-2026
