category,job_title,company,location,email,phone,start_date,job_url
Kaufmann/frau im Einzelhandel,"Ausbildung - Kaufmann / Kauffrau im Einzelhandel (m/w/d)
OBI Group Holding
Premium
01.08.2026
42929 Wermelskirchen
Duale Ausbildung",OBI Group Holding,N/A,navig@or.userlanguage,026 42859,01.08.2026,https://www.azubi.de/ausbildungsplatz/10450894-p-ausbildung-kaufmann-kauffrau-im-einzelhandel-m-w-d
Kaufmann/frau im Einzelhandel,"Ausbildung zum Kaufmann im Einzelhandel (m/w/d)
NORMA Lebensmittelfilialbetrieb Stiftung & Co. KG
Premium
01.08.2026
04179 Leipzig
1.350 – 1.550 €
1350 bis 1550 €
Neu
Duale Ausbildung",NORMA Lebensmittelfilialbetrieb Stiftung &amp; Co. KG,N/A,navig@or.userlanguage,026 04109,2026-02-27,https://www.azubi.de/ausbildungsplatz/11223989-p-ausbildung-zum-kaufmann-im-einzelhandel-m-w-d
Kaufmann/frau im Einzelhandel,"Ausbildung zum Kaufmann im Einzelhandel (m/w/d) 2026
Kaufland
Premium
01.08.2026
22047 Hamburg, DE, 22047
1.250 – 1.500 €
1250 bis 1500 €
Duale Ausbildung",Kaufland,N/A,navig@or.userlanguage,026 22179,2026-02-23,https://www.azubi.de/ausbildungsplatz/10450398-p-ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-2026
Kaufmann/frau im Einzelhandel,"Ausbildung Kaufmann/-frau im Einzelhandel (m/w/d)
Fressnapf Holding SE
Premium
01.08.2026
30659 Hannover
Neu
Duale Ausbildung",Fressnapf Holding SE,N/A,navig@or.userlanguage,026 30161,2026-02-27,https://www.azubi.de/ausbildungsplatz/11142893-p-ausbildung-kaufmann-frau-im-einzelhandel-m-w-d
Kaufmann/frau im Einzelhandel,"Ausbildung Kaufmann im Einzelhandel (w/m/d)
HELLWEG Die Profi-Bau- & Gartenmärkte GmbH & Co. KG
Premium
01.08.2026
97688 Bad Kissingen
Duale Ausbildung",HELLWEG Die Profi-Bau- &amp; Gartenmärkte GmbH &amp; Co. KG,N/A,navig@or.userlanguage,0231 - 9696 439,2026-02-25,https://www.azubi.de/ausbildungsplatz/10468107-p-ausbildung-kaufmann-im-einzelhandel-w-m-d
Kaufmann/frau im Einzelhandel,"Ausbildung Kaufmann im Einzelhandel 08.2026 (m/w/d)
Lidl Dienstleistung GmbH & Co. KG
Premium
01.08.2026
33689 Bielefeld
Noch 1 Tag online
Duale Ausbildung",Lidl Dienstleistung GmbH & Co. KG,N/A,navig@or.userlanguage,026 33607,01.08.2026,https://www.azubi.de/ausbildungsplatz/11560412-p-ausbildung-kaufmann-im-einzelhandel-08-2026-m-w-d
Kaufmann/frau im Einzelhandel,"Ausbildung zum Kaufmann im Einzelhandel (m/w/d) in Lüneburg (2026)
Vodafone Deutschland
Premium
21335 Lüneburg
Duale Ausbildung",Vodafone Deutschland,N/A,navig@or.userlanguage,026 21339,2026-02-21,https://www.azubi.de/ausbildungsplatz/11414221-p-ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-in-lueneburg-2026
Kaufmann/frau im Einzelhandel,"Ausbildung Einzelhandelskaufmann* frau (m/w/d) - Bogner Store Frankfurt a. Main
Bogner Commerce GmbH
Premium
01.08.2026
81673 München
Duale Ausbildung",Bogner Commerce GmbH,N/A,navig@or.userlanguage,026 80469,2026-02-26,https://www.azubi.de/ausbildungsplatz/11557182-p-ausbildung-einzelhandelskaufmann-frau-m-w-d-bogner-store-frankfurt-a-main
Kaufmann/frau im Einzelhandel,"Ausbildung zum Kaufmann im Einzelhandel (m/w/d) Köln
ANSON’S Herrenhaus GmbH & Co. KG
Premium
01.08.2026
50667 Köln
Duale Ausbildung",ANSON’S Herrenhaus GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 50667,2026-02-24,https://www.azubi.de/ausbildungsplatz/11336267-p-ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-koeln
Kaufmann/frau im Einzelhandel,"Ausbildung zum Kaufmann im Einzelhandel (m/w/d) Koblenz
Peek & Cloppenburg* B.V. & Co. KG, Düsseldorf
Premium
01.08.2026
56068 Koblenz
Duale Ausbildung","Peek &amp; Cloppenburg* B.V. &amp; Co. KG, Düsseldorf",N/A,karriere@peek-cloppenburg.de,04186968,2026-02-24,https://www.azubi.de/ausbildungsplatz/11336249-p-ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-koblenz
Kaufmann/frau im Einzelhandel,"Ausbildung Einzelhandelskaufmann* frau (m/w/d) - Bogner Store Berlin
Bogner Commerce GmbH
Premium
01.09.2026
10719 Berlin
Duale Ausbildung",Bogner Commerce GmbH,N/A,career@bogner.com,026 10117,2026-02-25,https://www.azubi.de/ausbildungsplatz/11552668-p-ausbildung-einzelhandelskaufmann-frau-m-w-d-bogner-store-berlin
Kaufmann/frau im Einzelhandel,"Ausbildung Kaufmann/-frau im Einzelhandel (m/w/d)
akzenta GmbH & Co. KG
Premium
01.08.2026
58455 Witten
1.100 – 1.360 €
1100 bis 1360 €
Duale Ausbildung",akzenta GmbH &amp; Co. KG,N/A,navig@or.userlanguage,0124631,2026-02-22,https://www.azubi.de/ausbildungsplatz/10648754-p-ausbildung-kaufmann-frau-im-einzelhandel-m-w-d
