category,job_title,company,location,email,phone,start_date,job_url
Fachinformatiker/in,"Auszubildende/r zum Fachinformatiker/in Systemintegration (m/f/d)
Daiichi Sankyo Europe GmbH
Premium
01.08.2026
85276 Pfaffenhofen an der Ilm
Duale Ausbildung",Daiichi Sankyo Europe GmbH,N/A,,026 86558,2/20/2026,https://www.azubi.de/ausbildungsplatz/11413728-p-auszubildende-r-zum-fachinformatiker-in-systemintegration-m-f-d
Fachinformatiker/in,"Ausbildung zum Fachinformatiker für Anwendungs­ent­wicklung (m/w/d)
kubus IT GbR
Premium
01.09.2026
81739 München
1.289 – 1.502 €
1289 bis 1502 €
Duale Ausbildung",kubus IT GbR,N/A,tom.blumenstein@kubus-it.de,0921 7871-23177,2/20/2026,https://www.azubi.de/ausbildungsplatz/11477924-p-ausbildung-zum-fachinformatiker-fuer-anwendungs-ent-wicklung-m-w-d
Fachinformatiker/in,"Ausbildung Fachinformatiker Systemintegration 2026 / Solutions (m/w/d)
INFODAS GmbH
Premium
01.08.2026
50765 Köln
1.000 – 1.200 €
1000 bis 1200 €
Duale Ausbildung
Homeoffice möglich",INFODAS GmbH,N/A,,022 50765,2/19/2026,https://www.azubi.de/ausbildungsplatz/11617636-p-ausbildung-fachinformatiker-systemintegration-2026-solutions-m-w-d
Fachinformatiker/in,"Ausbildung - Fachinformatiker*in für Daten- und Prozessanalyse (m/w/d)
Stadtwerke München GmbH
Premium
01.09.2026
80992 München
Noch 2 Tage online
Duale Ausbildung
Homeoffice möglich
4 freie Stellen",Stadtwerke München GmbH,N/A,,089 2361-2198,2/20/2026,https://www.azubi.de/ausbildungsplatz/10714706-p-ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d
Fachinformatiker/in,"Ausbildung zur*zum Fachinformatiker*in (m/w/d), Fachrichtung Systemintegration
Fachhochschule Südwestfalen
Premium
59494 Soest
Duale Ausbildung",Fachhochschule Südwestfalen,N/A,,026 59494,01.08.2026,https://www.azubi.de/ausbildungsplatz/11433597-p-ausbildung-zur-zum-fachinformatiker-in-m-w-d-fachrichtung-systemintegration
Fachinformatiker/in,"Ausbildung zum Fachinformatiker für Systemintegration (m/w/d) - Standort Dresden
AOK PLUS - Die Gesundheitskasse für Sachsen und Thüringen.
Premium
24.08.2026
01067 Dresden
1.289 – 1.502 €
1289 bis 1502 €
Duale Ausbildung",AOK PLUS - Die Gesundheitskasse für Sachsen und Thüringen.,N/A,tom.blumenstein@kubus-it.de,0921 7871-23177,2/25/2026,https://www.azubi.de/ausbildungsplatz/10519302-p-ausbildung-zum-fachinformatiker-fuer-systemintegration-m-w-d-standort-dresden
Fachinformatiker/in,"Ausbildung - Fachinformatiker für Systemintegration (m/w/d)
Amazon Logistik Achim GmbH - I12
Premium
01.08.2026
Achim
Duale Ausbildung",Amazon,N/A,,567720,2/25/2026,https://www.azubi.de/ausbildungsplatz/11632316-p-ausbildung-fachinformatiker-fuer-systemintegration-m-w-d
Fachinformatiker/in,"Ausbildung als Fachinformatiker:in Anwendungsentwicklung
HDI Group
Premium
01.09.2026
30659 Hannover
1.455 – 1.620 €
1455 bis 1620 €
Duale Ausbildung
Homeoffice möglich
2 freie Stellen",HDI Group,N/A,,026 30659,2/20/2026,https://www.azubi.de/ausbildungsplatz/10808930-p-ausbildung-als-fachinformatiker-in-anwendungsentwicklung
Fachinformatiker/in,"Auszubildende (m/w/d) zur/zum Fachinformatiker*in für Systemintegration
Bundesanstalt für Finanzdienstleistungsaufsicht BaFin
Premium
01.08.2026
53117 Bonn
1.368 €
1368 €
Neu
Duale Ausbildung
Teilzeit",Bundesanstalt für Finanzdienstleistungsaufsicht BaFin,N/A,ausbildung@bafin.de,026 51149,01.08.2026,https://www.azubi.de/ausbildungsplatz/11616670-p-auszubildende-m-w-d-zur-zum-fachinformatiker-in-fuer-systemintegration
Fachinformatiker/in,"Ausbildung zum / zur Fachinformatiker/in für Systemintegration (m/w/d)
Fast Lane Institute for Knowledge Transfer GmbH
Premium
01.08.2026
10117 Berlin
Duale Ausbildung
Homeoffice möglich",Fast Lane Institute for Knowledge Transfer GmbH,N/A,bewerbung@flane.de,40253346232,2/20/2026,https://www.azubi.de/ausbildungsplatz/11261639-p-ausbildung-zum-zur-fachinformatiker-in-fuer-systemintegration-m-w-d
