category,job_title,company,location,email,phone,start_date,job_url
Industriemechaniker/in,"Ausbildung zum Industriemechaniker (m/w/d) 2026
Deutsche Post DHL
Premium
01.08.2026
Greven
1.357 €
1357 €
Duale Ausbildung",Deutsche Post DHL,N/A,annika.kleuser@dhl.com,+49 2575 9777372.,01.09.2026,https://www.azubi.de/ausbildungsplatz/11209554-p-ausbildung-zum-industriemechaniker-m-w-d-2026
Industriemechaniker/in,"Ausbildung Industriemechaniker:in (m/w/d)
BASF
Premium
01.09.2026
79639 Grenzach-Wyhlen
Duale Ausbildung",BASF,N/A,romy.gruendel@basf.com,+49 30 2005-56730,2026-02-21,https://www.azubi.de/ausbildungsplatz/11568007-p-ausbildung-industriemechaniker-in-m-w-d
Industriemechaniker/in,"Ausbildung Industriemechaniker:in 2026
Deutsche Bahn AG
Premium
01.09.2026
München
Neu
Duale Ausbildung",Deutsche Bahn AG,N/A,navig@or.language,026 80992,01.09.2026,https://www.azubi.de/ausbildungsplatz/11363523-p-ausbildung-industriemechaniker-in-2026
Industriemechaniker/in,"Ausbildung zum/ zur Industriemechaniker/in für Betriebstechnik
frischli Milchwerke GmbH
Premium
01.08.2026
84307 Eggenfelden
Duale Ausbildung",frischli Milchwerke GmbH,N/A,navig@or.language,026 84323,2026-02-23,https://www.azubi.de/ausbildungsplatz/11594078-p-ausbildung-zum-zur-industriemechaniker-in-fuer-betriebstechnik
Industriemechaniker/in,"Ausbildung Industriemechaniker (m/w/d) Instandhaltung
Deutsche Post DHL
Premium
01.08.2026
Schkeuditz
1.357 €
1357 €
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,lejhubausbildung@dhl.com,+49 341 4499 6555,01.08.2026,https://www.azubi.de/ausbildungsplatz/11456871-p-ausbildung-industriemechaniker-m-w-d-instandhaltung
Industriemechaniker/in,"Industriemechaniker (m/w/d)
BAT Agrar GmbH & Co. KG
Premium
01.08.2026
25813 Husum
Duale Ausbildung",BAT Agrar GmbH &amp; Co. KG,N/A,navig@or.language,026 25813,2026-02-25,https://www.azubi.de/ausbildungsplatz/10425271-p-industriemechaniker-m-w-d
Industriemechaniker/in,"Ausbildung zum Industriemechaniker (m/w/d)
TESCOM EUROPE GMBH & CO.KG
Premium
01.08.2026
23923 Selmsdorf
Duale Ausbildung",TESCOM EUROPE GMBH &amp; CO.KG,N/A,navig@or.language,026 23923,2026-02-23,https://www.azubi.de/ausbildungsplatz/11044054-p-ausbildung-zum-industriemechaniker-m-w-d
Industriemechaniker/in,"Ausbildung zum Industriemechaniker Start Sommer 2026 (m/w/d)
QIAGEN GmbH
Premium
01.08.2026
40724 Hilden
1.060 – 1.280 €
1060 bis 1280 €
kein Anschreiben nötig
Duale Ausbildung
2 freie Stellen",QIAGEN GmbH,N/A,navig@or.language,026 41540,2026-02-25,https://www.azubi.de/ausbildungsplatz/10519309-p-ausbildung-zum-industriemechaniker-start-sommer-2026-m-w-d
Industriemechaniker/in,"Ausbildung zum Industriemechaniker (m/w/d) 2026
EEW Energy from Waste GmbH
Premium
01.09.2026
16303 Schwedt
Neu
Duale Ausbildung",EEW Energy from Waste GmbH,N/A,isabel.fischer@eew-energyfromwaste.com,026 16303,2026-02-26,https://www.azubi.de/ausbildungsplatz/10950399-p-ausbildung-zum-industriemechaniker-m-w-d-2026
Industriemechaniker/in,"Ausbildung zum Industriemechaniker 2026 (m/w/d)
SMS group GmbH
Premium
01.09.2026
57271 Hilchenbach
1.242 – 1.485 €
1242 bis 1485 €
Duale Ausbildung",SMS group GmbH,N/A,navig@or.language,+49 2733 29 2506,2026-02-23,https://www.azubi.de/ausbildungsplatz/10372834-p-ausbildung-zum-industriemechaniker-2026-m-w-d
Industriemechaniker/in,"Auszubildende zum Industriemechaniker (m/w/d)
DMK Deutsches Milchkontor GmbH
Premium
01.08.2026
99085 Erfurt
1.300 €
1300 €
Neu
Duale Ausbildung",DMK Deutsches Milchkontor GmbH,N/A,tamara.gerski@dmk.de,026 99086,2026-02-27,https://www.azubi.de/ausbildungsplatz/11142923-p-auszubildende-zum-industriemechaniker-m-w-d
Industriemechaniker/in,"Auszubildende zum Industriemechaniker (m/w/d)
DMK Eis GmbH
Premium
01.08.2026
48351 Everswinkel
1.300 €
1300 €
Duale Ausbildung",DMK Deutsches Milchkontor GmbH,N/A,laura.krabbe@dmk.de,+49 421 / 243-2246,2026-02-24,https://www.azubi.de/ausbildungsplatz/11201871-p-auszubildende-zum-industriemechaniker-m-w-d
Industriemechaniker/in,"Ausbildung Industriemechaniker:in (m/w/d)
BASF
Premium
01.09.2026
48165 Münster
Duale Ausbildung",BASF,N/A,melissa.rahmani@basf.com,+49 30 2005-58073,2026-02-21,https://www.azubi.de/ausbildungsplatz/11567997-p-ausbildung-industriemechaniker-in-m-w-d
Industriemechaniker/in,"Ausbildung zum Industriemechaniker (m/w/d) ab 01.09.2026
STIEBEL ELTRON GmbH & Co. KG
Premium
01.09.2026
37603 Holzminden
1.264 – 1.509 €
1264 bis 1509 €
Neu
Duale Ausbildung",STIEBEL ELTRON GmbH &amp; Co. KG,N/A,navig@or.language,05531 702 96261,2026-02-27,https://www.azubi.de/ausbildungsplatz/10809378-p-ausbildung-zum-industriemechaniker-m-w-d-ab-01-09-2026
Industriemechaniker/in,"Ausbildung zum Industriemechaniker (m/w/d) 2026
EEW Energy from Waste GmbH
Premium
16.08.2026
14727 Premnitz
Neu
Duale Ausbildung",EEW Energy from Waste GmbH,N/A,claudia.lange@eew-energyfromwaste.com,026 14774,2026-02-26,https://www.azubi.de/ausbildungsplatz/10355849-p-ausbildung-zum-industriemechaniker-m-w-d-2026
Industriemechaniker/in,"Ausbildung: Industriemechaniker (m/w/d) 2026
GIZEH Verpackungen GmbH & Co. KG
Premium
01.08.2026
51702 Bergneustadt
Neu
Duale Ausbildung",GIZEH Verpackungen GmbH &amp; Co. KG,N/A,navig@or.language,026 57271,2026-02-27,https://www.azubi.de/ausbildungsplatz/10809194-p-ausbildung-industriemechaniker-m-w-d-2026
Industriemechaniker/in,"Ausbildung zum Industriemechaniker (m/w/d) 2026
Stadtwerke Verkehrsgesellschaft Frankfurt am Main mbH
Premium
21.08.2026
Frankfurt am Main
1.293 – 1.452 €
1293 bis 1452 €
Neu
Duale Ausbildung
3 freie Stellen",Stadtwerke Verkehrsgesellschaft Frankfurt am Main mbH,N/A,navig@or.language,013 25761,2026-02-26,https://www.azubi.de/ausbildungsplatz/10568020-p-ausbildung-zum-industriemechaniker-m-w-d-2026
Industriemechaniker/in,"Ausbildung Industriemechaniker:in (m/w/d)
BASF
Premium
01.08.2026
49448 Lemförde
Duale Ausbildung",BASF,N/A,michael.wiesenack-flick@basf.com,+49 30 2005-58564,2026-02-20,https://www.azubi.de/ausbildungsplatz/11568010-p-ausbildung-industriemechaniker-in-m-w-d
