category,job_title,company,location,email,phone,start_date,job_url
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
E center Frauendorf
01.08.2026
38820 Halberstadt
Neu
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,navig@or.userlanguage,026 38838,2026-02-27,https://www.azubi.de/ausbildungsplatz/10436361-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7229 Belm
01.08.2026
49191 Belm
Neu
Duale Ausbildung",Marktkauf 7229 Belm,N/A,navig@or.userlanguage,026 49082,01.08.2026,https://www.azubi.de/ausbildungsplatz/10610408-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Bäcker(in)
KATZ der bäcker GmbH
01.09.2026
71665 Vaihingen /Enz
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",KATZ der bäcker GmbH,N/A,navig@or.userlanguage,026 71282,2026-02-27,https://www.azubi.de/ausbildungsplatz/10808891-s-baecker-in
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7205 Löhne
01.08.2026
32584 Löhne
Neu
Duale Ausbildung",Marktkauf 7205 Löhne,N/A,navig@or.userlanguage,026 32584,01.08.2026,https://www.azubi.de/ausbildungsplatz/10528069-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung zum Verkäufer - Fachrichtung Bäckerei (m/w/d) - 2026
Frische-Markt Strecker
01.08.2026
79111 Freiburg-Rieselfeld
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,bewerbung@edeka-suedwest.de,026 79111,2026-02-26,https://www.azubi.de/ausbildungsplatz/10823982-s-ausbildung-zum-verkaeufer-fachrichtung-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Verkäufer - Fachrichtung Bäckerei (m/w/d) - 2026
EDEKA Matthes
01.09.2026
55127 Mainz-Drais
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,e-matthes@outlook.de,026 55128,2026-02-26,https://www.azubi.de/ausbildungsplatz/10521668-s-ausbildung-verkaeufer-fachrichtung-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7203 Bünde
01.08.2026
32257 Bünde
Duale Ausbildung",Marktkauf 7203 Bünde,N/A,navig@or.userlanguage,026 32584,01.08.2026,https://www.azubi.de/ausbildungsplatz/10521703-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
EDEKA Banasik
01.08.2026
10119 Berlin
Duale Ausbildung",EDEKA Banasik,N/A,navig@or.userlanguage,026 10249,01.09.2026,https://www.azubi.de/ausbildungsplatz/10803381-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7201 Herford I
01.08.2026
32051 Herford
Duale Ausbildung",Marktkauf 7201 Herford I,N/A,navig@or.userlanguage,026 32052,01.08.2026,https://www.azubi.de/ausbildungsplatz/10521706-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7204 Bad Salzuflen
01.08.2026
32105 Bad Salzuflen
Duale Ausbildung",Marktkauf 7204 Bad Salzuflen,N/A,navig@or.userlanguage,026 32105,01.08.2026,https://www.azubi.de/ausbildungsplatz/10521659-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäufer Bäckerei (m/w/d) - 2026
Marktkauf/Scheck-in Center
01.09.2026
69469 Weinheim
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,ausbildung@scheck-in-center.de,026 68542,2026-02-25,https://www.azubi.de/ausbildungsplatz/11117673-s-ausbildung-fachverkaeufer-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäufer Bäckerei (m/w/d) – 2026
EDEKA Liebich
01.09.2026
76437 Rastatt
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,yannik.baumert@edeka-liebich.de,013 2026,2026-02-25,https://www.azubi.de/ausbildungsplatz/10512988-s-ausbildung-fachverkaeufer-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7417 Bremen-Habenhausen
01.08.2026
28279 Bremen-Habenhausen
Duale Ausbildung",Marktkauf 7417 Bremen-Habenhausen,N/A,navig@or.userlanguage,026 28207,01.08.2026,https://www.azubi.de/ausbildungsplatz/10822437-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung zum Bäcker (m/w/d)
FRITZ Mühlenbäckerei GmbH
01.09.2026
85653 Aying
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",FRITZ Mühlenbäckerei GmbH,N/A,job@fritz-muehlenbaeckerei.de,013 87307310,2026-02-25,https://www.azubi.de/ausbildungsplatz/10901697-s-ausbildung-zum-baecker-m-w-d
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7227 Lübbecke
01.08.2026
32312 Lübbecke
Duale Ausbildung",Marktkauf 7227 Lübbecke,N/A,navig@or.userlanguage,026 32361,01.08.2026,https://www.azubi.de/ausbildungsplatz/10583935-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäufer Bäckerei (m/w/d) - 2026
KISSEL Bäckerei
01.09.2026
76829 Landau i.d. Pfalz
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,ulrike.thiel-harlos@kissel-landau.de,026 76829,2026-02-22,https://www.azubi.de/ausbildungsplatz/10775092-s-ausbildung-fachverkaeufer-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7326 Melle
01.08.2026
49324 Melle
Duale Ausbildung",Marktkauf 7326 Melle,N/A,navig@or.userlanguage,026 49324,01.08.2026,https://www.azubi.de/ausbildungsplatz/10774949-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
E center 3304 Walsrode
01.08.2026
29664 Walsrode
Duale Ausbildung",E center 3304 Walsrode,N/A,navig@or.userlanguage,026 29664,01.08.2026,https://www.azubi.de/ausbildungsplatz/10578204-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäufer im Lebensmittelhandwerk -Schwerpunkt Bäckerei-
Bäckerei Wilhelm Geiping GmbH & Co.KG
01.08.2026
59063 Hamm
Duale Ausbildung
Teilzeit",Bäckerei Wilhelm Geiping GmbH &amp; Co.KG,N/A,navig@or.userlanguage,026 59075,2026-02-20,https://www.azubi.de/ausbildungsplatz/10870861-s-ausbildung-fachverkaeufer-im-lebensmittelhandwerk-schwerpunkt-baeckerei
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
Marktkauf 7213 Hameln Wangelist
01.08.2026
31789 Hameln-Wangelist
Duale Ausbildung",Marktkauf 7213 Hameln Wangelist,N/A,navig@or.userlanguage,026 31787,01.08.2026,https://www.azubi.de/ausbildungsplatz/10570542-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung Fachverkäufer Bäckerei (m/w/d) - 2026
EDEKA Stolzenberger
01.09.2026
63801 Kleinostheim
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,service@edeka-stolzenberger.de,026 63801,2026-02-19,https://www.azubi.de/ausbildungsplatz/10570537-s-ausbildung-fachverkaeufer-baeckerei-m-w-d-2026
Bäcker/in,"Ausbildung zum Bäcker (m/w/d)
KaDeWe GmbH
24.11.2025
10789 Berlin
Duale Ausbildung
4 freie Stellen",The KaDeWe Group GmbH,N/A,navig@or.userlanguage,026 10119,2026-02-17,https://www.azubi.de/ausbildungsplatz/10929913-s-ausbildung-zum-baecker-m-w-d
Bäcker/in,"Ausbildung Fachverkäuferin Lebensmittelhandwerk - Bäckerei (m/w/d) - 2026
EDEKA Fil. 5522 Mühlenbeck
01.09.2026
16567 Mühlenbeck
Duale Ausbildung",EDEKA Fil. 5522 Mühlenbeck,N/A,navig@or.userlanguage,026 16567,01.09.2026,https://www.azubi.de/ausbildungsplatz/10810683-s-ausbildung-fachverkaeuferin-lebensmittelhandwerk-baeckerei-m-w-d-2026
Bäcker/in,"2026: Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei)
Bäckerei Förster GmbH& Co. KG
01.08.2026
08371 Glauchau
Neu
Duale Ausbildung",Bäckerei Förster GmbH&amp; Co. KG,N/A,navig@or.userlanguage,026 08371,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642407-b-2026-fachverkaeufer-in-lebensmittelhandwerk-baeckerei
Bäcker/in,"Ausbildung zur Bäckereifachverkäuferin (m/w/d)
Landbäckerei Tönjes GmbH & Co.KG
26.02.2026
28857 Syke
Neu
Duale Ausbildung
Vollzeit/Teilzeit",Landbäckerei Tönjes GmbH &amp; Co.KG,N/A,syke.lt21-job@landbaeckerei-toenjes-job.de,04222-950476,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642335-b-ausbildung-zur-baeckereifachverkaeuferin-m-w-d
Bäcker/in,"Ausbildung 2026 zum Bäckereifachverkäufer (m/w/d)
Brothaus Gmbh
01.09.2026
90427 Nürnberg, Mittelfranken
Neu
Duale Ausbildung",Brothaus Gmbh,N/A,ausbildung@brot-haus.de,09843/93633-0,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638724-b-ausbildung-2026-zum-baeckereifachverkaeufer-m-w-d
Bäcker/in,"Ausbildung Bäcker (m/w/d) 2027
Bäckerei-Konditorei Kuhn e.K.
01.09.2027
83626 Valley, Oberbayern
Neu
Duale Ausbildung",Bäckerei-Konditorei Kuhn e.K.,N/A,navig@or.userlanguage,026 85653,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638694-b-ausbildung-baecker-m-w-d-2027
Bäcker/in,"Praktikum möglich - Ausbildung 2027 - Bäcker/in (m/w/d)
Goldbäckerei Grote GmbH & Co. KG
01.08.2027
58802 Balve
Duale Ausbildung",Goldbäckerei Grote GmbH &amp; Co. KG,N/A,bewerbung@goldbaecker.de,02375 / 2282,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632349-b-praktikum-moeglich-ausbildung-2027-baecker-in-m-w-d
Bäcker/in,"Ausbildung 2026: Bäcker/in (m/w/d) gesucht!
Backhaus Lüning GmbH
01.08.2026
55411 Bingen am Rhein
Duale Ausbildung",Backhaus Lüning GmbH,N/A,navig@or.userlanguage,026 55411,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619209-b-ausbildung-2026-baecker-in-m-w-d-gesucht
Bäcker/in,"Ausbildung zur Bäckereifachverkäuferin (m/w/d)
Landbäckerei Tönjes GmbH & Co.KG
19.02.2026
26316 Varel, Jadebusen
Duale Ausbildung
Vollzeit/Teilzeit",Landbäckerei Tönjes GmbH &amp; Co.KG,N/A,varel.lt22-job@landbaeckerei-toenjes-job.de,04222-950476,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619122-b-ausbildung-zur-baeckereifachverkaeuferin-m-w-d
Bäcker/in,"Ausbildung zur/ zum Bäcker/in // Konditor/in (m/w/d) in Belgien - Praktikum möglich
Kockartz
01.07.2026
4730 Hauset
Duale Ausbildung",Kockartz,N/A,info@kockartz.be,026 4730,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614335-b-ausbildung-zur-zum-baecker-in-konditor-in-m-w-d-in-belgien-praktikum-moeglich
Bäcker/in,"Ausbildung zum Bäcker (m/w/d)
Wilhelm Geiping GmbH & Co. KG Bäckerei W. Geiping Bäckerei W. Geiping
01.08.2026
59348 Lüdinghausen
Duale Ausbildung",Wilhelm Geiping GmbH &amp; Co. KG Bäckerei W. Geiping Bäckerei W. Geiping,N/A,navig@or.userlanguage,026 59348,2026-02-14,https://www.azubi.de/ausbildungsplatz/11571830-b-ausbildung-zum-baecker-m-w-d
Bäcker/in,"**Ausbildung 2026** Fachverkäufer/in Lebensmittelhandwerk (Bäckerei)
Neu Handels-KG
01.08.2026
66802 Überherrn
Duale Ausbildung",Neu Handels-KG,N/A,bewerbung@kunzler.eu,+49683692000,2026-02-13,https://www.azubi.de/ausbildungsplatz/11560625-b-ausbildung-2026-fachverkaeufer-in-lebensmittelhandwerk-baeckerei
Bäcker/in,"Ausbildung zur Bäckereifachverkäuferin (m/w/d)
Landbäckerei Tönjes GmbH & Co.KG
11.02.2026
28217 Bremen+ 2 weitere
Duale Ausbildung
Vollzeit/Teilzeit",Landbäckerei Tönjes GmbH &amp; Co.KG,N/A,bremen.lt11-job@landbaeckerei-toenjes-job.de,04222-950476,2026-02-13,https://www.azubi.de/ausbildungsplatz/11560582-b-ausbildung-zur-baeckereifachverkaeuferin-m-w-d
Bäcker/in,"AZUBI 2026 Bäcker/in (m/w/d) Praktikum möglich
Remke GmbH & Co. KG
01.08.2026
49509 Recke
Duale Ausbildung",Remke GmbH &amp; Co. KG,N/A,info@baeckerei-remke.de,05453/9188670,2026-02-12,https://www.azubi.de/ausbildungsplatz/11554415-b-azubi-2026-baecker-in-m-w-d-praktikum-moeglich
Bäcker/in,"Ausbildung 2026
Bäckerei Weber GmbH
01.09.2026
71364 Winnenden, Württemberg
Duale Ausbildung",Bäckerei Weber GmbH,N/A,info@biobaeckerweber.de,026 71364,2026-02-11,https://www.azubi.de/ausbildungsplatz/11548519-b-ausbildung-2026
Bäcker/in,"Ausbildung zur Bäckereifachverkäuferin (m/w/d)
Landbäckerei Tönjes GmbH & Co.KG
09.02.2026
27753 Delmenhorst+ 2 weitere
Duale Ausbildung
Vollzeit/Teilzeit",Landbäckerei Tönjes GmbH &amp; Co.KG,N/A,delmenhorst.lt10-job@landbaeckerei-toenjes-job.de,04222-950476,2026-02-11,https://www.azubi.de/ausbildungsplatz/11548639-b-ausbildung-zur-baeckereifachverkaeuferin-m-w-d
Bäcker/in,"Ausbildung in einem Handwerksbetrieb
Siegfried Völsch Bäckerei-Konditorei
01.08.2026
21339 Lüneburg
Duale Ausbildung",Siegfried Völsch Bäckerei-Konditorei,N/A,navig@or.userlanguage,026 29553,2026-02-09,https://www.azubi.de/ausbildungsplatz/11511107-b-ausbildung-in-einem-handwerksbetrieb
Bäcker/in,"Fachverkäufer- Lebensmittelhandwerk Bäckerei (m/w/d) 2027
Fidelis1505 GmbH
01.09.2027
88239 Wangen im Allgäu
Duale Ausbildung",Fidelis1505 GmbH,N/A,navig@or.userlanguage,026 88161,2026-02-08,https://www.azubi.de/ausbildungsplatz/11505456-b-fachverkaeufer-lebensmittelhandwerk-baeckerei-m-w-d-2027
Bäcker/in,"Bäckerei Treffer - Ausbildung zum Bäcker (w/m/d)
Stephan Treffer Bäckerei
06.02.2026
94474 Vilshofen an der Donau
Duale Ausbildung",Stephan Treffer Bäckerei,N/A,navig@or.userlanguage,026 94474,06.02.2026,https://www.azubi.de/ausbildungsplatz/11505530-b-baeckerei-treffer-ausbildung-zum-baecker-w-m-d
