category,job_title,company,location,email,phone,start_date,job_url
Zweiradmechatroniker/in,"Ausbildung zur:m Zweiradmechatroniker:in (m/w/d) – Start 2026 bei Fahrrad XXL Fürth!
Fahrrad XXL Stores GmbH
01.10.2026
90765 Fürth, Bayern
Duale Ausbildung",Fahrrad XXL Stores GmbH,N/A,navig@or.language,026 91056,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622521-b-ausbildung-zur-m-zweiradmechatroniker-in-m-w-d-start-2026-bei-fahrrad-xxl-fuerth
Zweiradmechatroniker/in,"Ausbildung 2027 -- Praktikum möglich
Auto Schmidt Thomas Schmidt
01.09.2027
92676 Speinshart
Duale Ausbildung",Auto Schmidt Thomas Schmidt,N/A,navig@or.language,026 92676,2026-02-07,https://www.azubi.de/ausbildungsplatz/11492328-b-ausbildung-2027-praktikum-moeglich
Zweiradmechatroniker/in,"Ausbildung 2026 als Zweiradmechatroniker/in - Fahrradtechnik - Praktikum vorab möglich
Bella Bici GmbH
01.08.2026
67098 Bad Dürkheim
Duale Ausbildung",Bella Bici GmbH,N/A,bewerbung@bellabici.de,06322-9109373,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475542-b-ausbildung-2026-als-zweiradmechatroniker-in-fahrradtechnik-praktikum-vorab-moeglich
Zweiradmechatroniker/in,"Ausbildung zum Zweiradmechatroniker (m/w/d) 2026! We want you!
Daniel Schwabl Zweirad Ebert
01.09.2026
82362 Weilheim in Oberbayern
Duale Ausbildung",Daniel Schwabl Zweirad Ebert,N/A,zweirad.ebert@t-online.de,026 82362,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449791-b-ausbildung-zum-zweiradmechatroniker-m-w-d-2026-we-want-you
Zweiradmechatroniker/in,"Ausbildung zum Zweiradmechatroniker (m/w/d)
MEGA Bike GmbH (ST)
01.08.2026
24223 Schwentinental
Duale Ausbildung",MEGA Bike GmbH (ST),N/A,navig@or.language,026 24223,2026-01-29,https://www.azubi.de/ausbildungsplatz/11398535-b-ausbildung-zum-zweiradmechatroniker-m-w-d
Zweiradmechatroniker/in,"Ausbildung Zweiradmechatroniker/in (m/w/d), Neuradmonteur/in (m/w/d) in Schwerte für 2026 gesucht !
Zweiradcenter Markgraf & Linn GmbH
26.01.2026
58239 Schwerte
Duale Ausbildung",Zweiradcenter Markgraf &amp; Linn GmbH,N/A,navig@or.language,026 44263,2026-01-28,https://www.azubi.de/ausbildungsplatz/11391966-b-ausbildung-zweiradmechatroniker-in-m-w-d-neuradmonteur-in-m-w-d-in-schwerte-fuer-2026-gesucht
Zweiradmechatroniker/in,"Ausbildung Zweiradmechatroniker (m/w/d) 2026, Lingen
Fahrwerk Timmer GmbH
01.08.2026
49808 Lingen (Ems)
Duale Ausbildung",Fahrwerk Timmer GmbH,N/A,j.wigger@fahrwerk.me,0591/321795-86,2026-01-24,https://www.azubi.de/ausbildungsplatz/11367838-b-ausbildung-zweiradmechatroniker-m-w-d-2026-lingen
Zweiradmechatroniker/in,"Ausbildung zur Zweiradmechatroniker:in
Main Mobility GmbH
01.08.2026
60329 Frankfurt am Main
Duale Ausbildung",Main Mobility GmbH,N/A,navig@or.language,026 60329,2026-01-17,https://www.azubi.de/ausbildungsplatz/11319090-b-ausbildung-zur-zweiradmechatroniker-in
Zweiradmechatroniker/in,"Schraube an deiner Zukunft – Ausbildung zum Zweiradmechatroniker Fahrradtechnik
Zweirad Hanselle GmbH
01.08.2026
48465 Schüttorf
Duale Ausbildung",Zweirad Hanselle GmbH,N/A,navig@or.language,026 49808,2026-01-01,https://www.azubi.de/ausbildungsplatz/11209939-b-schraube-an-deiner-zukunft-ausbildung-zum-zweiradmechatroniker-fahrradtechnik
Zweiradmechatroniker/in,"Ausbildung zum/zur Zweiradmechatroniker:in (m/w/d) 2026
BIKE & OUTDOOR COMPANY GmbH & Co. KG
01.08.2026
45127 Essen, Ruhr
Duale Ausbildung",BIKE &amp; OUTDOOR COMPANY GmbH &amp; Co. KG,N/A,navig@or.language,+49 40 20209-660,2025-12-24,https://www.azubi.de/ausbildungsplatz/11168588-b-ausbildung-zum-zur-zweiradmechatroniker-in-m-w-d-2026
