category,job_title,company,location,email,phone,start_date,job_url
Zimmerer/Zimmerin,"Ausbildung Zimmerer m/w/d
F. Wimmer Baugeschäft und Zimmerei GmbH
01.09.2026
94036 Passau
Neu
Schnellbewerbung
Duale Ausbildung",F. Wimmer Baugeschäft und Zimmerei GmbH,N/A,loc@ion.href,026 94036,2026-02-26,https://www.azubi.de/ausbildungsplatz/10992108-s-ausbildung-zimmerer-m-w-d
Zimmerer/Zimmerin,"Zimmerer (m/w/d) 2026
DFH Haus GmbH
01.08.2026
55469 Simmern
Schnellbewerbung
Duale Ausbildung",DFH Haus GmbH,N/A,ausbildung@dfh-haus.de,efon: 06761/90 300 144,2026-02-24,https://www.azubi.de/ausbildungsplatz/10274330-s-zimmerer-m-w-d-2026
Zimmerer/Zimmerin,"Ausbildung 2026 - Zimmerer, Zimmerin (m/w/d)
ZÜBLIN TIMBER GMBH
01.09.2026
86551 86551 Aichach
Duale Ausbildung",STRABAG AG,N/A,loc@ion.href,026 86565,2026-02-22,https://www.azubi.de/ausbildungsplatz/10496789-s-ausbildung-2026-zimmerer-zimmerin-m-w-d
Zimmerer/Zimmerin,"Ausbildung zum Zimmerer (w/m/d)
FingerHaus GmbH
01.08.2026
35066 Frankenberg (Eder)
Duale Ausbildung",FingerHaus GmbH,N/A,personal@fingerhaus.de,06451 504-232,2026-02-21,https://www.azubi.de/ausbildungsplatz/10036468-s-ausbildung-zum-zimmerer-w-m-d
Zimmerer/Zimmerin,"01.09.2026 - Ausbildung zum Zimmerer/ Zimmermann (m/w/d)
Rendler Bau GmbH
01.09.2026
77656 Offenburg
Duale Ausbildung",Rendler Bau GmbH,N/A,loc@ion.href,026 77815,2026-02-26,https://www.azubi.de/ausbildungsplatz/11634890-b-01-09-2026-ausbildung-zum-zimmerer-zimmermann-m-w-d
Zimmerer/Zimmerin,"Auszubildende/r im Zimmereihandwerk gesucht
Gerber Holzbau
01.08.2026
21274 Undeloh
Duale Ausbildung",Gerber Holzbau,N/A,c.gerber@gerber-holzbau.de,026 21258,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632453-b-auszubildende-r-im-zimmereihandwerk-gesucht
Zimmerer/Zimmerin,"*Ausbildung 2026* zum Zimmerer (m/w/d)!!
Cavier & Sohn GmbH
01.08.2026
23560 Lübeck
Duale Ausbildung",Cavier &amp; Sohn GmbH,N/A,loc@ion.href,026 23669,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632546-b-ausbildung-2026-zum-zimmerer-m-w-d
Zimmerer/Zimmerin,"Zimmerer (m/w/d)
Sprenger Stephan Zimmerei
20.02.2026
88069 Tettnang
Duale Ausbildung",Sprenger Stephan Zimmerei,N/A,loc@ion.href,026 88074,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622479-b-zimmerer-m-w-d
Zimmerer/Zimmerin,"Zimmerer-Azubi oder Umschüler/in (m/w/d) für 2026 gesucht
Thies Holzbau GmbH
01.09.2026
27313 Dörverden
Duale Ausbildung",Thies Holzbau GmbH,N/A,mail@thies-holzbau.de,026 27356,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614408-b-zimmerer-azubi-oder-umschueler-in-m-w-d-fuer-2026-gesucht
Zimmerer/Zimmerin,"*** Ausbildung 2026 ***
Stefan Bünting GmbH
01.08.2026
26655 Westerstede
Duale Ausbildung",Stefan Bünting GmbH,N/A,loc@ion.href,026 26655,2026-02-14,https://www.azubi.de/ausbildungsplatz/11571621-b-ausbildung-2026
Zimmerer/Zimmerin,"Ausbildung 2026 sichern! Zimmerer/Zimmerin (m/w/d)
Bernd Tolksdorf
11.02.2026
31234 Edemissen bei Peine
Duale Ausbildung",Bernd Tolksdorf,N/A,loc@ion.href,026 31303,2026-02-13,https://www.azubi.de/ausbildungsplatz/11560472-b-ausbildung-2026-sichern-zimmerer-zimmerin-m-w-d
Zimmerer/Zimmerin,"Ausbildung zur*m Zimmerer*in (m/w/d)
Knobelsdorff-Schule OSZ Bautechnik I Berufsfachschule
01.09.2026
13599 Berlin
Duale Ausbildung
Homeoffice möglich
Vollzeit/Teilzeit",Knobelsdorff-Schule OSZ Bautechnik I Berufsfachschule,N/A,loc@ion.href,030/33503 445,2026-02-13,https://www.azubi.de/ausbildungsplatz/11560633-b-ausbildung-zur-m-zimmerer-in-m-w-d
Zimmerer/Zimmerin,"AUSBILDUNG 2026 - Zimmerer/in (m/w/d)
GULDE Holzbau Josef Gulde
01.09.2026
72818 Trochtelfingen, Hohenzollern
Duale Ausbildung",GULDE Holzbau Josef Gulde,N/A,loc@ion.href,026 72531,2026-02-08,https://www.azubi.de/ausbildungsplatz/11505520-b-ausbildung-2026-zimmerer-in-m-w-d
Zimmerer/Zimmerin,"Ausbildung zum/zur Zimmerer/Zimmerin (m/w/d)
Tyroller Reinhard
04.02.2026
86565 Gachenbach
Duale Ausbildung",Tyroller Reinhard,N/A,loc@ion.href,026 86551 86551,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475430-b-ausbildung-zum-zur-zimmerer-zimmerin-m-w-d
Zimmerer/Zimmerin,"Ausbildung 2026 (m/w/d)
Hans Voß Holzbau GmbH & Co. KG
01.08.2026
24536 Neumünster, Holstein
Duale Ausbildung",Hans Voß Holzbau GmbH &amp; Co. KG,N/A,p.goettsche@voss-holzbau.de.ansprechpartnerin,026 24254,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475385-b-ausbildung-2026-m-w-d
Zimmerer/Zimmerin,"Azubi gesucht ** Zimmerer (m/w/d) **
Foss Zimmereibetrieb GmbH & Co. KG
01.07.2026
25485 Hemdingen
Duale Ausbildung",Foss Zimmereibetrieb GmbH &amp; Co. KG,N/A,buero@zimmerei-foss.de,026 25479,2026-02-06,https://www.azubi.de/ausbildungsplatz/11475389-b-azubi-gesucht-zimmerer-m-w-d
Zimmerer/Zimmerin,"Ausbildung 2026 - Zimmerer (m/w/d)
Armin Wagenbrenner
01.09.2026
97355 Kleinlangheim
Duale Ausbildung",Armin Wagenbrenner,N/A,awagenbrenner@aol.com,09325/9791451,2026-02-05,https://www.azubi.de/ausbildungsplatz/11457096-b-ausbildung-2026-zimmerer-m-w-d
Zimmerer/Zimmerin,"***Ausbildung 2026***
Ochs GmbH Holzbau Dacheindeckung
01.08.2026
55481 Kirchberg (Hunsrück)
Duale Ausbildung",Ochs GmbH Holzbau Dacheindeckung,N/A,bewerbung@ochs.info,0 67 63/93 10-0,2026-02-05,https://www.azubi.de/ausbildungsplatz/11457098-b-ausbildung-2026
Zimmerer/Zimmerin,"Ausbildung z. Zimmerer (m/w/d)
Florian Sommer Zimmerei
01.08.2026
30900 Wedemark
Duale Ausbildung",Florian Sommer Zimmerei,N/A,loc@ion.href,026 30916,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449777-b-ausbildung-z-zimmerer-m-w-d
Zimmerer/Zimmerin,"Ausbildung 2026 - Praktikum möglich
EBMEYER Dach- und Holzbau GmbH & Co. KG
01.08.2026
32130 Enger, Westfalen
Duale Ausbildung",EBMEYER Dach- und Holzbau GmbH &amp; Co. KG,N/A,mail@zimmerei-ebmeyer.de,05224 99420,2026-02-01,https://www.azubi.de/ausbildungsplatz/11416978-b-ausbildung-2026-praktikum-moeglich
Zimmerer/Zimmerin,"Ausbildung Zimmerer (m/w/d)
HW Hannover Dachbau GmbH
01.08.2026
30916 Isernhagen
Duale Ausbildung",HW Hannover Dachbau GmbH,N/A,info@hannover-dachbau.de,026 30900,2026-01-31,https://www.azubi.de/ausbildungsplatz/11414437-b-ausbildung-zimmerer-m-w-d
Zimmerer/Zimmerin,"Baue mit Holz deine Zukunft: Ausbildung zum Zimmerer (m/w/d)
Dach und Massivhausbau Lüttich GmbH
01.08.2026
06567 Bad Frankenhausen/Kyffhäuser
Duale Ausbildung",Dach und Massivhausbau Lüttich GmbH,N/A,loc@ion.href,026 06577,2026-01-31,https://www.azubi.de/ausbildungsplatz/11414402-b-baue-mit-holz-deine-zukunft-ausbildung-zum-zimmerer-m-w-d
Zimmerer/Zimmerin,"Zimmerer m/w/d 2026
Zimmerei Denz Christian Denz
01.09.2026
79733 Görwihl
Duale Ausbildung",Zimmerei Denz Christian Denz,N/A,loc@ion.href,026 79733,2026-01-25,https://www.azubi.de/ausbildungsplatz/11382783-b-zimmerer-m-w-d-2026
Zimmerer/Zimmerin,"*Ausbildung 2027* zum Zimmerer (m/w/d) in Höxter - Praktikum möglich
Andre Kasten
01.08.2027
37671 Höxter
Duale Ausbildung",Andre Kasten,N/A,info@zimmerei-kasten.de,05271 6923331,2026-01-24,https://www.azubi.de/ausbildungsplatz/11368009-b-ausbildung-2027-zum-zimmerer-m-w-d-in-hoexter-praktikum-moeglich
Zimmerer/Zimmerin,"Ausbildung zum Zimmerer/Zimmerin
Georg Schröder Schreinerei und Holzbau GmbH
01.08.2026
59075 Hamm, Westfalen
Duale Ausbildung",Georg Schröder Schreinerei und Holzbau GmbH,N/A,loc@ion.href,026 59075,2026-01-23,https://www.azubi.de/ausbildungsplatz/11363727-b-ausbildung-zum-zimmerer-zimmerin
Zimmerer/Zimmerin,"Ausbildungsstelle 2026 - Praktikum möglich
Rehklau GmbH
01.09.2026
87700 Memmingen
Duale Ausbildung",Rehklau GmbH,N/A,loc@ion.href,026 88450,2026-01-23,https://www.azubi.de/ausbildungsplatz/11363664-b-ausbildungsstelle-2026-praktikum-moeglich
Zimmerer/Zimmerin,"Ausbildung 2026
Michael Schröder Holzbau GmbH
01.08.2026
27356 Rotenburg (Wümme)
Duale Ausbildung",Michael Schröder Holzbau GmbH,N/A,loc@ion.href,026 27356,2026-01-18,https://www.azubi.de/ausbildungsplatz/11331870-b-ausbildung-2026
Zimmerer/Zimmerin,"Azubi Zimmerer (m/w/d)
PS Peters, Schulz GmbH
01.09.2026
29378 Wittingen, Niedersachsen
Duale Ausbildung","PS Peters, Schulz GmbH",N/A,loc@ion.href,026 29559,2026-01-18,https://www.azubi.de/ausbildungsplatz/11331801-b-azubi-zimmerer-m-w-d
Zimmerer/Zimmerin,"Wir suchen dich - Starte deine Ausbildung zum Zimmerer (m/w/d) bei uns!
Zimmerei-Holzbau Fuchs GmbH
01.09.2026
93191 Rettenbach, Oberpfalz
Duale Ausbildung",Zimmerei-Holzbau Fuchs GmbH,N/A,info@zimmerei-holzbau-fuchs.de,026 94372,2026-01-17,https://www.azubi.de/ausbildungsplatz/11319244-b-wir-suchen-dich-starte-deine-ausbildung-zum-zimmerer-m-w-d-bei-uns
Zimmerer/Zimmerin,"Ausbildung 2026 zum Zimmerer (m/w/d)
Holzvogt GmbH
01.09.2026
88263 Horgenzell
Duale Ausbildung",Holzvogt GmbH,N/A,loc@ion.href,013 8120202,2026-01-16,https://www.azubi.de/ausbildungsplatz/11304922-b-ausbildung-2026-zum-zimmerer-m-w-d
Zimmerer/Zimmerin,"Zimmerer (m/w/d)
HBB Holzbau Bayern GmbH & Co. KG
01.09.2026
92439 Bodenwöhr
Duale Ausbildung",HBB Holzbau Bayern GmbH &amp; Co. KG,N/A,loc@ion.href,026 93191,2026-01-10,https://www.azubi.de/ausbildungsplatz/11267893-b-zimmerer-m-w-d
Zimmerer/Zimmerin,"Ausbildung zum Zimmerer (m/w/d) 2026
Hans-Hermann Bellmer Zimmereibetrieb
01.08.2026
28759 Bremen
Duale Ausbildung",Hans-Hermann Bellmer Zimmereibetrieb,N/A,info@bellmer-zimmerei.de,026 28759,2025-12-25,https://www.azubi.de/ausbildungsplatz/11177477-b-ausbildung-zum-zimmerer-m-w-d-2026
Zimmerer/Zimmerin,"Zimmerer/in m/w/d Ausbildung 2026
Altreetzer Baugesellschaft Frede UG
01.08.2026
16259 Oderaue
Duale Ausbildung",Altreetzer Baugesellschaft Frede UG,N/A,loc@ion.href,026 16259,2025-12-25,https://www.azubi.de/ausbildungsplatz/11177482-b-zimmerer-in-m-w-d-ausbildung-2026
Zimmerer/Zimmerin,"Zimmerer/Zimmerin
Holzbau Frey GmbH
01.09.2026
72297 Seewald
Duale Ausbildung",Holzbau Frey GmbH,N/A,loc@ion.href,026 72270,2025-12-24,https://www.azubi.de/ausbildungsplatz/11168594-b-zimmerer-zimmerin
Zimmerer/Zimmerin,"Azubi 202 6 gesucht oder Umschüler m/w/d
Michael Mohr Bedachungen
01.08.2026
53619 Rheinbreitbach
Duale Ausbildung",Michael Mohr Bedachungen,N/A,loc@ion.href,026 56651,2025-12-24,https://www.azubi.de/ausbildungsplatz/11168525-b-azubi-202-6-gesucht-oder-umschueler-m-w-d
