category,job_title,company,location,email,phone,start_date,job_url
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann (m/w/d)
DATA MODUL AG
Premium
01.09.2026
80687 München
Duale Ausbildung",DATA MODUL AG,N/A,navig@or.userlanguage,026 81673,2026-02-24,https://www.azubi.de/ausbildungsplatz/11547025-p-ausbildung-zum-industriekaufmann-m-w-d
Industriekaufmann/frau,"Ausbildung als Industriekauffrau/ -mann (m/w/d)
BIRKENSTOCK GROUP B.V. & CO. KG
Premium
50678 Köln
Duale Ausbildung",BIRKENSTOCK GROUP B.V. & CO. KG,N/A,navig@or.userlanguage,026 51061,01.09.2026,https://www.azubi.de/ausbildungsplatz/11335503-p-ausbildung-als-industriekauffrau-mann-m-w-d
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann (m/w/d)
ALBA Sachsen GmbH
Premium
01.08.2026
04179 Leipzig
Neu
Duale Ausbildung",ALBA Sachsen GmbH,N/A,navig@or.userlanguage,026 04179,03.08.2026,https://www.azubi.de/ausbildungsplatz/11638555-p-ausbildung-zum-industriekaufmann-m-w-d
Industriekaufmann/frau,"Ausbildungsplatz zum Industriekaufmann (m/w/d)
RUF Betten GmbH
Premium
01.09.2026
76437 Rastatt
Duale Ausbildung",RUF Betten GmbH,N/A,navig@or.userlanguage,09049532,2026-02-23,https://www.azubi.de/ausbildungsplatz/11280440-p-ausbildungsplatz-zum-industriekaufmann-m-w-d
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann 2026 (m/w/d)
KuhnOdice Germany GmbH
Premium
01.08.2026
57339 Erndtebrück
1.000 €
1000 €
Duale Ausbildung",KuhnOdice Germany GmbH,N/A,navig@or.userlanguage,01734976376,2026-02-25,https://www.azubi.de/ausbildungsplatz/11254290-p-ausbildung-zum-industriekaufmann-2026-m-w-d
Industriekaufmann/frau,"Ausbildung zur Industriekauffrau (m/w/d) | Ausbildungsjahr 2026
DMG MORI Deutschland Vertrieb & Service GmbH
Premium
19.12.2026
München
Neu
Duale Ausbildung",DMG MORI Deutschland Vertrieb &amp; Service GmbH,N/A,navig@or.userlanguage,+49151 5576 6691,2026-02-27,https://www.azubi.de/ausbildungsplatz/11142922-p-ausbildung-zur-industriekauffrau-m-w-d-ausbildungsjahr-2026
Industriekaufmann/frau,"Ausbildung zum/zur Industriekaufmann/-frau (m/w/d)
Techtronic Industries ELC GmbH
Premium
71364 Winnenden
Noch 3 Tage online
Duale Ausbildung",Techtronic Industries ELC GmbH,N/A,jobs@tti-emea.com,026 71336,01.09.2026,https://www.azubi.de/ausbildungsplatz/10980643-p-ausbildung-zum-zur-industriekaufmann-frau-m-w-d
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann 2026 (m/w/d)
SMS group GmbH
Premium
01.09.2026
41069 Mönchengladbach
1.242 – 1.485 €
1242 bis 1485 €
Duale Ausbildung",SMS group GmbH,N/A,navig@or.userlanguage,026 41516,2026-02-25,https://www.azubi.de/ausbildungsplatz/9954224-p-ausbildung-zum-industriekaufmann-2026-m-w-d
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann (m/w/d)
ENGIE Deutschland GmbH
Premium
01.09.2026
70565 Stuttgart
Neu
Duale Ausbildung",ENGIE Deutschland GmbH,N/A,navig@or.userlanguage,026 71336,2026-02-27,https://www.azubi.de/ausbildungsplatz/11089931-p-ausbildung-zum-industriekaufmann-m-w-d
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann (m/w/d)
ALBA Berlin GmbH
Premium
01.08.2026
13407 Berlin-Reinickendorf
Neu
Duale Ausbildung",ALBA Berlin GmbH,N/A,navig@or.userlanguage,026 10407,01.10.2026,https://www.azubi.de/ausbildungsplatz/11638600-p-ausbildung-zum-industriekaufmann-m-w-d
Industriekaufmann/frau,"Ausbildung zum Industriekaufmann - Supply Chain Management (m/w/d) 2026
Kaufland
Premium
01.09.2026
74172 Neckarsulm, DE, 74172
1.100 – 1.350 €
1100 bis 1350 €
Duale Ausbildung",Kaufland,N/A,navig@or.userlanguage,026 74172,2026-02-25,https://www.azubi.de/ausbildungsplatz/10901182-p-ausbildung-zum-industriekaufmann-supply-chain-management-m-w-d-2026
Industriekaufmann/frau,"Ausbildung zu Industriekaufleuten (M/W/D)
Saarpor Klaus Eckhardt GmbH Neunkirchen Kunststoffe KG
Premium
01.08.2026
66539 Neunkirchen
Schnellbewerbung
Duale Ausbildung",Saarpor Klaus Eckhardt GmbH Neunkirchen Kunststoffe KG,N/A,ausbildung@saarpor.de,+49 6821 9407 427,2026-02-26,https://www.azubi.de/ausbildungsplatz/10816466-p-ausbildung-zu-industriekaufleuten-m-w-d
