category,job_title,company,location,email,phone,start_date,job_url
Fluggerätmechaniker/in,"Ausbildung Fluggerätmechaniker (m/w/d) Triebwerkstechnik Start August 2026
Lufthansa Technik AG
10.08.2026
60549 Frankfurt am Main
Duale Ausbildung",Lufthansa Technik AG,N/A,navig@or.language,026 63329,2026-02-26,https://www.azubi.de/ausbildungsplatz/11125332-s-ausbildung-fluggeraetmechaniker-m-w-d-triebwerkstechnik-start-august-2026
Fluggerätmechaniker/in,"Ausbildung zum Fluggerätmechaniker Fachrichtung Triebwerkstechnik (m/w/d); ab September 2026
N3 Engine Overhaul Services GmbH & Co. KG
01.09.2026
99310 Arnstadt
Duale Ausbildung",N3 Engine Overhaul Services GmbH &amp; Co. KG,N/A,navig@or.language,+49 151 - 58 94 85 66,2026-02-25,https://www.azubi.de/ausbildungsplatz/10211322-s-ausbildung-zum-fluggeraetmechaniker-fachrichtung-triebwerkstechnik-m-w-d-ab-september-2026
Fluggerätmechaniker/in,"Ausbildung zur/ zum Fluggerätmechanikerin/Fluggerätmechaniker - Instandhaltungstechnik (m/w/d) 2027
Bundeswehr
01.09.2027
31675 Bückeburg
Duale Ausbildung
28 freie Stellen",Bundeswehr,N/A,bwdlzwunstorf@bundeswehr.org,024-00006857,2026-02-25,https://www.azubi.de/ausbildungsplatz/10691563-s-ausbildung-zur-zum-fluggeraetmechanikerin-fluggeraetmechaniker-instandhaltungstechnik-m-w-d-2027
Fluggerätmechaniker/in,"Ausbildung Fluggerätmechanikerin/Fluggerätmechaniker - Instandhaltungstechnik (m/w/d)
Bundeswehr
01.09.2026
04916 Schönewalde
Duale Ausbildung
Vollzeit/Teilzeit
12 freie Stellen",Bundeswehr,N/A,bwdlzdoberlug-kirchhainpersonalangelegenheiten@bundeswehr.org,024-00007398,2026-02-24,https://www.azubi.de/ausbildungsplatz/11281099-s-ausbildung-fluggeraetmechanikerin-fluggeraetmechaniker-instandhaltungstechnik-m-w-d
Fluggerätmechaniker/in,"Ausbildung Fluggerätmechanikerin/Fluggerätmechaniker (m/w/d) Instandhaltungstechnik
Bundeswehr
01.09.2027
86836 Graben
Duale Ausbildung
20 freie Stellen",Bundeswehr,N/A,bwdlzlandsbergpersonalangelegenheiten@bundeswehr.org,025-00008820,2026-02-20,https://www.azubi.de/ausbildungsplatz/10951055-s-ausbildung-fluggeraetmechanikerin-fluggeraetmechaniker-m-w-d-instandhaltungstechnik
Fluggerätmechaniker/in,"Ausbildung zur/ zum Fluggerätmechanikerin / Fluggerätmechaniker - Triebwerkstechnik (m/w/d) 2027
Bundeswehr
01.09.2027
29328 Faßberg
Duale Ausbildung
13 freie Stellen",Bundeswehr,N/A,bwdlzbergenausufortb@bundeswehr.org,023-00008677,2026-02-19,https://www.azubi.de/ausbildungsplatz/10947205-s-ausbildung-zur-zum-fluggeraetmechanikerin-fluggeraetmechaniker-triebwerkstechnik-m-w-d-2027
Fluggerätmechaniker/in,"Ausbildung zum/zur Fluggerätmechaniker/-in Fachrichtung Triebwerkstechnik für 2026 (w/m/d)
Rolls-Royce Deutschland Ltd & Co KG
01.09.2026
15827 Dahlewitz
Duale Ausbildung",Rolls-Royce Deutschland Ltd &amp; Co KG,N/A,navig@or.language,026 15827,2026-02-18,https://www.azubi.de/ausbildungsplatz/10633320-s-ausbildung-zum-zur-fluggeraetmechaniker-in-fachrichtung-triebwerkstechnik-fuer-2026-w-m-d
Fluggerätmechaniker/in,"Ausbildung zur/ zum Fluggerätmechanikerin/Fluggerätmechaniker - Instandhaltungstechnik (m/w/d) 2026
Bundeswehr
01.09.2026
31515 Wunstorf
Duale Ausbildung
2 freie Stellen",Bundeswehr,N/A,navig@or.language,024-00006859,2026-02-17,https://www.azubi.de/ausbildungsplatz/11594743-s-ausbildung-zur-zum-fluggeraetmechanikerin-fluggeraetmechaniker-instandhaltungstechnik-m-w-d-2026
Fluggerätmechaniker/in,"Ausbildung Fluggerätmechanikerin/Fluggerätmechaniker (m/w/d) Instandhaltungstechnik
Bundeswehr
01.09.2027
85077 Manching
Duale Ausbildung
14 freie Stellen",Bundeswehr,N/A,bwdlzingolstadtpersutarif@bundeswehr.org,025-00007180,2026-02-14,https://www.azubi.de/ausbildungsplatz/10809821-s-ausbildung-fluggeraetmechanikerin-fluggeraetmechaniker-m-w-d-instandhaltungstechnik
Fluggerätmechaniker/in,"Fluggerätmechaniker Instandhaltungstechnik (m/w/d) 2026
Röder Präzision GmbH
01.08.2026
63329 Egelsbach, Hessen
Duale Ausbildung",Röder Präzision GmbH,N/A,bewerbung@roeder.aero,+49 (0)61 03 / 40 02,2025-12-03,https://www.azubi.de/ausbildungsplatz/10983355-b-fluggeraetmechaniker-instandhaltungstechnik-m-w-d-2026
