category,job_title,company,location,email,phone,start_date,job_url
Technische/r Produktdesigner/in,"Ausbildung zum Technischen Produktdesigner 2026 (m/w/d)
SMS group GmbH
Premium
01.09.2026
57271 Hilchenbach
1.242 – 1.485 €
1242 bis 1485 €
Duale Ausbildung",SMS group GmbH,N/A,navig@or.language,+49 2733 29 2506,2026-02-23,https://www.azubi.de/ausbildungsplatz/10372832-p-ausbildung-zum-technischen-produktdesigner-2026-m-w-d
Technische/r Produktdesigner/in,"Ausbildung zum Technischen Produktdesigner (m/w/d) – Einsatzgebiet Maschinen- und Anlagenkonstruktion
Lürssen Werft Bremen GmbH & Co. KG
Premium
01.08.2026
27809 Lemwerder
Neu
Duale Ausbildung",Lürssen Werft Bremen GmbH &amp; Co. KG,N/A,vivian.koch@lurssen.de,026 27804,2026-02-26,https://www.azubi.de/ausbildungsplatz/11560180-p-ausbildung-zum-technischen-produktdesigner-m-w-d-einsatzgebiet-maschinen-und-anlagenkonstruktion
Technische/r Produktdesigner/in,"Ausbildung zum Produktdesigner*in (w/m/d) in 2026
Jenoptik AG
31.08.2026
40789 Monheim am Rhein
Neu
Duale Ausbildung",JENOPTIK AG,N/A,recruiting@jenoptik.com,026 51469,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642506-s-ausbildung-zum-produktdesigner-in-w-m-d-in-2026
Technische/r Produktdesigner/in,"Ausbildung technischer Produktdesigner (m/w/d) - Fachrichtung Maschinen- und Anlagenkonstruktion
Wildeboer Bauteile GmbH
01.08.2027
26826 Weener
Neu
Duale Ausbildung",Wildeboer Bauteile GmbH,N/A,maik.swarberg@wildeboer.de,+49 4951 950-146,2026-02-27,https://www.azubi.de/ausbildungsplatz/9877981-s-ausbildung-technischer-produktdesigner-m-w-d-fachrichtung-maschinen-und-anlagenkonstruktion
Technische/r Produktdesigner/in,"Ausbildung zum Technischen Produktdesigner ab 2026 (m/w/d)
Rheinmetall Waffe Munition GmbH
11.08.2026
29345 Unterlüß (29345)
Neu
Duale Ausbildung
2 freie Stellen",Rheinmetall,N/A,navig@or.language,026 29345,2026-02-27,https://www.azubi.de/ausbildungsplatz/11560763-s-ausbildung-zum-technischen-produktdesigner-ab-2026-m-w-d
Technische/r Produktdesigner/in,"Ausbildung zum/zur Technischen Produktdesigner/in (m/w/d) - Maschinen- und Anlagenkonstruktion
Amandus Kahl GmbH & Co. KG
01.08.2026
21465 Reinbek
Neu
Duale Ausbildung",Amandus Kahl GmbH &amp; Co. KG,N/A,personal@amandus-kahl-group.de,040-72771-272,2026-02-27,https://www.azubi.de/ausbildungsplatz/10709198-s-ausbildung-zum-zur-technischen-produktdesigner-in-m-w-d-maschinen-und-anlagenkonstruktion
Technische/r Produktdesigner/in,"Technischer Produktdesigner – Duale Ingenieursausbildung (m/w/d)
ANDRITZ Küsters GmbH
01.08.2026
47798 Krefeld
Neu
Duale Ausbildung
Teilzeit",ANDRITZ Küsters GmbH,N/A,angelika.grahl@hs-niederrhein.de,0411027,2026-02-27,https://www.azubi.de/ausbildungsplatz/11409497-s-technischer-produktdesigner-duale-ingenieursausbildung-m-w-d
Technische/r Produktdesigner/in,"Ausbildung Technischer Produktdesigner (m/w/d) in Senden (Westf.) 2026
Langguth GmbH
03.08.2026
48308 Senden
Neu
Schnellbewerbung
Duale Ausbildung",Langguth GmbH,N/A,navig@or.language,026 89264,2026-02-27,https://www.azubi.de/ausbildungsplatz/10610452-s-ausbildung-technischer-produktdesigner-m-w-d-in-senden-westf-2026
Technische/r Produktdesigner/in,"Auszubildende zum technischen Produktdesigner (m/w/d)
Stöbich Holding GmbH & Co. KG
01.08.2026
38644 Goslar
Neu
Schnellbewerbung
Duale Ausbildung",Stöbich Holding GmbH &amp; Co. KG,N/A,navig@or.language,026 37520,2026-02-26,https://www.azubi.de/ausbildungsplatz/11125314-s-auszubildende-zum-technischen-produktdesigner-m-w-d
Technische/r Produktdesigner/in,"Technischer Produktdesigner (m/w/d) - 2026
Heidelberg Web Carton Converting GmbH
01.09.2026
92637 Weiden
Neu
Duale Ausbildung",Heidelberger Druckmaschinen AG,N/A,navig@or.language,026 92637,2026-02-26,https://www.azubi.de/ausbildungsplatz/10431467-s-technischer-produktdesigner-m-w-d-2026
