category,job_title,company,location,email,phone,start_date,job_url
Anästhesietechnische/r Assistent/in,"Ausbildung Anästhesietechnische Assistenz (ATA) (m/w/d)
Bürgerhospital und Clementine Kinderhospital Frankfurt gGmbH
Premium
01.10.2026
60318 Frankfurt
1.340 – 1.503 €
1340 bis 1503 €
Noch 2 Tage online
Schulische Ausbildung
3 freie Stellen",Bürgerhospital und Clementine Kinderhospital Frankfurt gGmbH,N/A,eins@z.durch,069 1500 5924,2026-02-25,https://www.azubi.de/ausbildungsplatz/10649329-p-ausbildung-anaesthesietechnische-assistenz-ata-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung zum Anästhesietechnischen Assistenten (m/w/d)
Sana Klinikum Offenbach GmbH
Premium
01.10.2026
63069 Offenbach am Main
1.490 – 1.653 €
1490 bis 1653 €
Schulische Ausbildung",Sana Klinikum Offenbach GmbH,N/A,tcd@a.customvendorconsents,+49 69 8405-3221,2026-02-23,https://www.azubi.de/ausbildungsplatz/11163402-p-ausbildung-zum-anaesthesietechnischen-assistenten-m-w-d
Anästhesietechnische/r Assistent/in,"Anästhesietechnische/r Assistent/in
Akademie der Gesundheit e.V.
01.04.2026
13125 Berlin
Neu
Schulische Ausbildung",AKADEMIE DER GESUNDHEIT BERLIN-BRANDENBURG E.V.,N/A,tcd@a.customvendorconsents,026 12683,2026-02-26,https://www.azubi.de/ausbildungsplatz/9877423-s-anaesthesietechnische-r-assistent-in
Anästhesietechnische/r Assistent/in,"Ausbildung Anästhesietechnische Assistenten (w/m/d) - Oktober 2026
Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH
01.10.2026
78052 Villingen-Schwenningen
Schulische Ausbildung",Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH,N/A,tcd@a.customvendorconsents,07721 93 1741,2026-02-21,https://www.azubi.de/ausbildungsplatz/11267966-s-ausbildung-anaesthesietechnische-assistenten-w-m-d-oktober-2026
Anästhesietechnische/r Assistent/in,"Ausbildung zum Anästhesietechnischen Assistenten/ ATA (w/m/d)
Asklepios Orthopädische Klinik Lindenlohe
01.09.2026
92421 Schwandorf
Schulische Ausbildung
Vollzeit/Teilzeit",Asklepios Kliniken GmbH &amp; Co. KGaA,N/A,al.ebert@asklepios.com,+49 9431 888-166,2026-02-20,https://www.azubi.de/ausbildungsplatz/10475709-s-ausbildung-zum-anaesthesietechnischen-assistenten-ata-w-m-d
Anästhesietechnische/r Assistent/in,"Ausbildung als Anästhesietechnischer Assistent / ATA (w/m/d)
Asklepios Südpfalzklinik Kandel
01.10.2026
76870 Kandel
Schulische Ausbildung",Asklepios Kliniken GmbH &amp; Co. KGaA,N/A,tcd@a.customvendorconsents,07275 71-3692,2026-02-19,https://www.azubi.de/ausbildungsplatz/11349889-s-ausbildung-als-anaesthesietechnischer-assistent-ata-w-m-d
Anästhesietechnische/r Assistent/in,"Ausbildung Anästhesietechnischer Assistent (m/w/d)
Asklepios Klinik Lich
01.10.2026
35423 Lich
Schulische Ausbildung",Asklepios Kliniken GmbH &amp; Co. KGaA,N/A,s.pietz@asklepios.com,06404 81450,2026-02-13,https://www.azubi.de/ausbildungsplatz/11409489-s-ausbildung-anaesthesietechnischer-assistent-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung Anästhesietechnischer Assistent / ATA 2026 (m|w|d)
Katharina Kasper Gruppe GmbH
01.10.2026
56428 Dernbach (Westerwald)
Schulische Ausbildung",Alexianer GmbH,N/A,tcd@a.customvendorconsents,+49 2602 684-166,2026-02-13,https://www.azubi.de/ausbildungsplatz/10436260-s-ausbildung-anaesthesietechnischer-assistent-ata-2026-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung zum Anästhesietechnischen Assistent (m/w/d)
Klinikum Osnabrück GmbH
25.02.2026
49076 Osnabrück
Neu
Schulische Ausbildung",Klinikum Osnabrück GmbH,N/A,tcd@a.customvendorconsents,026 49076,2026-02-26,https://www.azubi.de/ausbildungsplatz/11634857-b-ausbildung-zum-anaesthesietechnischen-assistent-m-w-d
Anästhesietechnische/r Assistent/in,"2026 - Auszubildenden (m/w/d) zum Anästhesietechnischen Assistenten
Klinikum Kulmbach Zweckverband
01.10.2026
95326 Kulmbach
Schulische Ausbildung",Klinikum Kulmbach Zweckverband,N/A,tcd@a.customvendorconsents,026 95326,2026-02-22,https://www.azubi.de/ausbildungsplatz/11622540-b-2026-auszubildenden-m-w-d-zum-anaesthesietechnischen-assistenten
Anästhesietechnische/r Assistent/in,"Anästhesietechnische/r Assistent/-in (ATA) (m/w/d) 2027
Klinikum Memmingen
13.02.2026
87700 Memmingen
Schulische Ausbildung",Klinikum Memmingen,N/A,tcd@a.customvendorconsents,08331 / 70-0,2026-02-14,https://www.azubi.de/ausbildungsplatz/11571827-b-anaesthesietechnische-r-assistent-in-ata-m-w-d-2027
Anästhesietechnische/r Assistent/in,"Ausbildung zur Anästhesietechnischen Assistenz (m/w/d)
Klinikum Aschersleben-Staßfurt GmbH
01.09.2026
06449 Aschersleben, Sachsen-Anhalt
Schulische Ausbildung",Klinikum Aschersleben-Staßfurt GmbH,N/A,tcd@a.customvendorconsents,+49 (0)3473 974939,2026-02-07,https://www.azubi.de/ausbildungsplatz/11492255-b-ausbildung-zur-anaesthesietechnischen-assistenz-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung Anästhesietechnischer Assistent (m/w/d) – ATA
Helios Vogtland-Klinikum Plauen GmbH
01.09.2026
08529 Plauen, Vogtland
Schulische Ausbildung",Helios Vogtland-Klinikum Plauen GmbH,N/A,bewerbungen.plauen@helios-gesundheit.de,026 08529,2026-02-05,https://www.azubi.de/ausbildungsplatz/11457040-b-ausbildung-anaesthesietechnischer-assistent-m-w-d-ata
Anästhesietechnische/r Assistent/in,"Ausbildung zur Anästhesietechnischen Assistenz (m/w/d)
AMEOS Klinikum Bernburg GmbH
01.09.2026
06406 Bernburg (Saale)
Schulische Ausbildung",AMEOS Klinikum Bernburg GmbH,N/A,tcd@a.customvendorconsents,+49 (0)3473 974939,2026-02-03,https://www.azubi.de/ausbildungsplatz/11438390-b-ausbildung-zur-anaesthesietechnischen-assistenz-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung 2026 - Anästhesietechnischen Assistenten (ATA) (m/w/d)
KLINIK KITZINGER LAND
01.09.2026
97318 Kitzingen
Schulische Ausbildung",KLINIK KITZINGER LAND,N/A,tcd@a.customvendorconsents,026 97074,2026-01-30,https://www.azubi.de/ausbildungsplatz/11409334-b-ausbildung-2026-anaesthesietechnischen-assistenten-ata-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung zum Anästhesietechnischer Assistent m/w/x - ATA - Start zum 01.09.2026
Albertinen-Krankenhaus Albertinen-Haus gGmbH
01.09.2026
22457 Hamburg
Schulische Ausbildung",Albertinen-Krankenhaus Albertinen-Haus gGmbH,N/A,susanne.schroedel@immanuelalbertinen.de,+49 40 5588-6040,2026-01-30,https://www.azubi.de/ausbildungsplatz/11409402-b-ausbildung-zum-anaesthesietechnischer-assistent-m-w-x-ata-start-zum-01-09-2026
Anästhesietechnische/r Assistent/in,"Ausbildung zum Anästhesietechnischen Assistent zum 01.10.2026 (m/w/d)
Rottal-Inn Kliniken Kommunalunternehmen
01.10.2026
84307 Eggenfelden
Schulische Ausbildung",Rottal-Inn Kliniken Kommunalunternehmen,N/A,situ@ion.gemeinsam,026 84307,2026-01-28,https://www.azubi.de/ausbildungsplatz/11391899-b-ausbildung-zum-anaesthesietechnischen-assistent-zum-01-10-2026-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung zum/zur Anästhesietechnischen Assistent/in (m/w/d)
Krankenhaus Wittmund gGmbH
01.08.2026
26409 Wittmund
Schulische Ausbildung",Krankenhaus Wittmund gGmbH,N/A,tcd@a.customvendorconsents,026 26409,2026-01-24,https://www.azubi.de/ausbildungsplatz/11367956-b-ausbildung-zum-zur-anaesthesietechnischen-assistent-in-m-w-d
Anästhesietechnische/r Assistent/in,"Ausbildung Anästhesietechnischer Assistent (m/w/d) ATA
BG Klinikum Unfallkrankenhaus Berlin gGmbH
01.04.2026
12683 Berlin
Schulische Ausbildung",BG Klinikum Unfallkrankenhaus Berlin gGmbH,N/A,tcd@a.customvendorconsents,030 5681-2009,2026-01-17,https://www.azubi.de/ausbildungsplatz/11319086-b-ausbildung-anaesthesietechnischer-assistent-m-w-d-ata
