category,job_title,company,location,email,phone,start_date,job_url
Karosserie- und Fahrzeugbaumechaniker/in,"Karosserie- und Fahrzeugbaumechaniker/in (m/w/d) Ausbildung in Rotenburg (Wümme) 2026
Borco Höhns GmbH
01.09.2026
27356 Rotenburg
Schnellbewerbung
Duale Ausbildung",Borco Höhns GmbH,N/A,bewerbung@borco.de,04261 671-141,2026-02-21,https://www.azubi.de/ausbildungsplatz/10879543-s-karosserie-und-fahrzeugbaumechaniker-in-m-w-d-ausbildung-in-rotenburg-wuemme-2026
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung Karosseriebauer (m/w/d)
AVAG Holding SE - Autohäuser SüdWest
01.09.2026
71332 Waiblingen
Duale Ausbildung",AVAG Holding SE,N/A,navig@or.language,026 71672,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619287-s-ausbildung-karosseriebauer-m-w-d
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung zum Karosserie- und Fahrzeugbaumechaniker (m/w/d)
TIP Trailer Services Germany GmbH
01.09.2026
21129 Hamburg
Schnellbewerbung
Duale Ausbildung",TIP Trailer Services Germany GmbH,N/A,jobs@tip-group.com,0172 2310797,2026-02-20,https://www.azubi.de/ausbildungsplatz/10870814-s-ausbildung-zum-karosserie-und-fahrzeugbaumechaniker-m-w-d
Karosserie- und Fahrzeugbaumechaniker/in,"Karosserie- und Fahrzeugbaumechaniker (m/w/d)
Autohaus Brüggemann GmbH & Co. KG
01.08.2026
48432 Rheine-Mesum
Schnellbewerbung
Duale Ausbildung",Autohaus Brüggemann GmbH &amp; Co. KG,N/A,bewerbung@autohaus-brueggemann.de,05975/304123,2026-02-19,https://www.azubi.de/ausbildungsplatz/10084475-s-karosserie-und-fahrzeugbaumechaniker-m-w-d
Karosserie- und Fahrzeugbaumechaniker/in,"Auszubildende zum/ zur Karosseriebauer/in (m/w/d/-) Ausbildungsstart 2026 Köln
Renault Retail Group Deutschland GmbH
01.08.2026
50939 Köln
Duale Ausbildung",Renault Retail Group Deutschland GmbH,N/A,lucas.lamm@renault.de,026 50769,2026-02-14,https://www.azubi.de/ausbildungsplatz/11414596-s-auszubildende-zum-zur-karosseriebauer-in-m-w-d-ausbildungsstart-2026-koeln
Karosserie- und Fahrzeugbaumechaniker/in,"Volkswagen Ausb. Karosserie-/Fahrzeugbaumechaniker (m/w/d) --> Praktikum möglich
Hans Eichbichler GmbH & Co. KG
01.09.2026
84030 Landshut, Isar
Neu
Duale Ausbildung",Hans Eichbichler GmbH &amp; Co. KG,N/A,navig@or.language,026 84032,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642402-b-volkswagen-ausb-karosserie-fahrzeugbaumechaniker-m-w-d-praktikum-moeglich
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung Karosserie- und Fahrzeugbaumechaniker/in (m/w/d) - Karosserieinstandhaltungstechnik 2026
Karosserie-Lackierfachbetrieb Lambla GmbH & Co. KG
01.09.2026
89129 Langenau, Württemberg
Neu
Duale Ausbildung",Karosserie-Lackierfachbetrieb Lambla GmbH &amp; Co. KG,N/A,navig@or.language,026 89129,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638735-b-ausbildung-karosserie-und-fahrzeugbaumechaniker-in-m-w-d-karosserieinstandhaltungstechnik-2026
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung 2026 Karosserie- und Fahrzeugbaumechaniker/innen (m/w/d)-Karosserieinstandhaltungstechnik
Karosserie-u.Lackierzentrum Ch. Obeck GmbH
01.08.2026
29525 Uelzen, Lüneburger Heide
Duale Ausbildung",Karosserie-u.Lackierzentrum Ch. Obeck GmbH,N/A,navig@or.language,026 29525,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632511-b-ausbildung-2026-karosserie-und-fahrzeugbaumechaniker-innen-m-w-d-karosserieinstandhaltungstechnik
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung als Karosseriebauer/-in (w/m/d)
M.C.F. Motor Company Fahrzeugvertriebs-GmbH
01.09.2026
13403 Berlin, Berlin
Duale Ausbildung",M.C.F. Motor Company Fahrzeugvertriebs-GmbH,N/A,navig@or.language,026 12359,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619255-b-ausbildung-als-karosseriebauer-in-w-m-d
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung zum Karosserie- u. Fahrzeugbaumechaniker (Karosserieinstandhaltungstechnik) m/w/d
OmSa GmbH Güstrow
01.09.2026
18273 Güstrow
Duale Ausbildung",OmSa GmbH Güstrow,N/A,bewerbung@omsa-gmbh.de,03843 22705-22,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619245-b-ausbildung-zum-karosserie-u-fahrzeugbaumechaniker-karosserieinstandhaltungstechnik-m-w-d
Karosserie- und Fahrzeugbaumechaniker/in,"Karosserie- und Fahrzeugbaumechaniker (m/w/d)
Jacobs Automobile GmbH
01.08.2026
52525 Heinsberg, Rheinland
Duale Ausbildung",Jacobs Automobile GmbH,N/A,navig@or.language,026 52525,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616738-b-karosserie-und-fahrzeugbaumechaniker-m-w-d
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung 2026 zum/zur Karosserie und Fahrzeugbaumechaniker*in (m/w/d)
Kleindienst Karosseriefachbetrieb GmbH
01.09.2026
74385 Pleidelsheim
Duale Ausbildung",Kleindienst Karosseriefachbetrieb GmbH,N/A,mail@kleindienst-karosserie.de,026 74385,2026-02-14,https://www.azubi.de/ausbildungsplatz/11571924-b-ausbildung-2026-zum-zur-karosserie-und-fahrzeugbaumechaniker-in-m-w-d
Karosserie- und Fahrzeugbaumechaniker/in,"Karosserie- und Fahrzeugbaumechaniker/in - Kaross./Fzg.baut.
Karosseriebau Günter Riege GmbH
01.09.2026
98693 Ilmenau, Thüringen
Duale Ausbildung",Karosseriebau Günter Riege GmbH,N/A,navig@or.language,026 99310,2026-02-08,https://www.azubi.de/ausbildungsplatz/11505558-b-karosserie-und-fahrzeugbaumechaniker-in-kaross-fzg-baut
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildungsstelle für Kfz-Begeisterte (m/w/d) zu vergeben!
Lackiererei Elisabeth Schlegel Karosserie & Lackiercenter
01.09.2026
97892 Kreuzwertheim
Duale Ausbildung",Lackiererei Elisabeth Schlegel Karosserie &amp; Lackiercenter,N/A,navig@or.language,026 97209,2026-02-08,https://www.azubi.de/ausbildungsplatz/11505546-b-ausbildungsstelle-fuer-kfz-begeisterte-m-w-d-zu-vergeben
Karosserie- und Fahrzeugbaumechaniker/in,"Ausbildung - Karosserie- und Fahrzeugbaumechaniker (m/w/d)
Kraftverkehr Gesellschaft mit beschränkter Haftung -KVG GmbH
01.08.2026
21337 Lüneburg
Duale Ausbildung",Kraftverkehr Gesellschaft mit beschränkter Haftung -KVG GmbH,N/A,navig@or.language,026 21423,2026-02-07,https://www.azubi.de/ausbildungsplatz/11492409-b-ausbildung-karosserie-und-fahrzeugbaumechaniker-m-w-d
