category,job_title,company,location,email,phone,start_date,job_url
Feinwerkmechaniker/in,"Feinwerkmechaniker (m/w/d)
Pakulla GmbH
01.09.2026
51469 Bergisch Gladbach
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",Pakulla GmbH,N/A,loc@ion.href,026 53842,2026-02-27,https://www.azubi.de/ausbildungsplatz/10357614-s-feinwerkmechaniker-m-w-d
Feinwerkmechaniker/in,"Ausbildung Feinwerkmechaniker/in Maschinenbau (m/w/d)
Schuster Sondermaschinenbau GmbH
01.09.2027
82389 Böbing
Neu
Schnellbewerbung
Duale Ausbildung",Schuster Sondermaschinenbau GmbH,N/A,loc@ion.href,026 82389,2026-02-27,https://www.azubi.de/ausbildungsplatz/11305120-s-ausbildung-feinwerkmechaniker-in-maschinenbau-m-w-d
Feinwerkmechaniker/in,"Ausbildung zum Feinwerkmechaniker (m/w/d) - Fachrichtung Maschinenbau
Teupe GmbH
01.08.2026
48703 Stadtlohn
Neu
Duale Ausbildung",Teupe Holding GmbH,N/A,loc@ion.href,026 48703,2026-02-26,https://www.azubi.de/ausbildungsplatz/10219146-s-ausbildung-zum-feinwerkmechaniker-m-w-d-fachrichtung-maschinenbau
Feinwerkmechaniker/in,"Ausbildung Feinwerkmechaniker/in 2026 (m/w/d)
KORDEL Antriebstechnik GmbH
01.08.2026
59399 Olfen
Neu
Schnellbewerbung
Duale Ausbildung",KORDEL Antriebstechnik GmbH,N/A,loc@ion.href,026 48249,2026-02-26,https://www.azubi.de/ausbildungsplatz/10121315-s-ausbildung-feinwerkmechaniker-in-2026-m-w-d
Feinwerkmechaniker/in,"Ausbildung Feinwerkmechaniker/in (m/w/d)
Sixt GmbH Stanz- und Umformtechnik
01.09.2026
71106 Magstadt
Schnellbewerbung
Duale Ausbildung",Sixt GmbH Stanz- und Umformtechnik,N/A,loc@ion.href,026 75365,2026-02-25,https://www.azubi.de/ausbildungsplatz/11117539-s-ausbildung-feinwerkmechaniker-in-m-w-d
Feinwerkmechaniker/in,"Feinwerkmechaniker*in (Ausbildungsplatz 2026)
Stadt Karlsruhe
01.09.2026
76187 Karlsruhe
Duale Ausbildung",Stadt Karlsruhe,N/A,pascal.schmitt@tba.karlsruhe.de,0721 133-7474,2026-02-24,https://www.azubi.de/ausbildungsplatz/11386079-s-feinwerkmechaniker-in-ausbildungsplatz-2026
Feinwerkmechaniker/in,"Feinwerkmechaniker (m/w/d) - Zerspanungstechnik
Klaas Alu-Kranbau GmbH
01.08.2026
59387 Ascheberg
Schnellbewerbung
Duale Ausbildung",Klaas Alu-Kranbau GmbH,N/A,loc@ion.href,026 59387,2026-02-24,https://www.azubi.de/ausbildungsplatz/10973414-s-feinwerkmechaniker-m-w-d-zerspanungstechnik
Feinwerkmechaniker/in,"Auszubildende zum Feinwerkmechaniker (m/w/d), Fachrichtung Feinmechanik
Max-Planck-Institut für Biochemie (MPIB)
01.09.2026
82152 Martinsried
Duale Ausbildung
2 freie Stellen",Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V.,N/A,wied@biochem.mpg.de,+49 (0) 89 8578-2577 /,2026-02-24,https://www.azubi.de/ausbildungsplatz/10682035-s-auszubildende-zum-feinwerkmechaniker-m-w-d-fachrichtung-feinmechanik
Feinwerkmechaniker/in,"Ausbildung Feinwerkmechaniker Maschinenbau (m/w/d)
Basalt-Actien-Gesellschaft
01.08.2026
53545 Linz am Rhein
Duale Ausbildung
Teilzeit
2 freie Stellen",Basalt-Actien-Gesellschaft,N/A,loc@ion.href,+49 2644 1201,2026-02-20,https://www.azubi.de/ausbildungsplatz/10317187-s-ausbildung-feinwerkmechaniker-maschinenbau-m-w-d
Feinwerkmechaniker/in,"Ausbildung zur / zum Feinwerkmechanikerin / Feinwerkmechaniker (m/w/d)
Bundeswehr
01.09.2026
54550 Daun
Duale Ausbildung",Bundeswehr,N/A,bwdlzmayenpersonalangelegenheiten@bundeswehr.org,025-00004191,2026-02-20,https://www.azubi.de/ausbildungsplatz/11260212-s-ausbildung-zur-zum-feinwerkmechanikerin-feinwerkmechaniker-m-w-d
Feinwerkmechaniker/in,"Feinwerkmechanikerin / Feinwerkmechaniker (m/w/d)
Bundesanstalt für Geowissenschaften und Rohstoffe (BGR)
01.09.2026
30655 Hannover
Duale Ausbildung",Bundesanstalt für Geowissenschaften und Rohstoffe (BGR),N/A,jobs@bgr.de,0511 6433012,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616881-s-feinwerkmechanikerin-feinwerkmechaniker-m-w-d
Feinwerkmechaniker/in,"Feinwerkmechaniker (m/w/d) im Handwerk / Metall / Maschinenbau
KINKELE GmbH & Co. KG
01.09.2026
97199 Ochsenfurt
Duale Ausbildung",KINKELE GmbH &amp; Co. KG,N/A,loc@ion.href,025 97199,2026-02-17,https://www.azubi.de/ausbildungsplatz/10373892-s-feinwerkmechaniker-m-w-d-im-handwerk-metall-maschinenbau
Feinwerkmechaniker/in,"Ausbildung Feinwerkmechaniker/in (m/w/d)
Wache GmbH
01.08.2026
23556 Lübeck
Neu
Duale Ausbildung",Wache GmbH,N/A,karriere@wache.de,026 23556,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642322-b-ausbildung-feinwerkmechaniker-in-m-w-d
Feinwerkmechaniker/in,"WSA MSL - Auszubildende zur Feinwerkmechanikerin / Auszubildenden zum Feinwerkmechaniker (m/w/d)
BAV Dienstsitz Aurich
01.08.2026
54295 Trier, Koblenz am Rhein
Duale Ausbildung",BAV Dienstsitz Aurich,N/A,loc@ion.href,0260325,2026-02-26,https://www.azubi.de/ausbildungsplatz/11634819-b-wsa-msl-auszubildende-zur-feinwerkmechanikerin-auszubildenden-zum-feinwerkmechaniker-m-w-d
Feinwerkmechaniker/in,"Azubi 2026 Feinwerkmechaniker/in Maschinenbau (m/w/d)
Kaspar Boudier GmbH Maschinenbau
01.08.2026
66740 Saarlouis
Duale Ausbildung",Kaspar Boudier GmbH Maschinenbau,N/A,loc@ion.href,026 66740,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632337-b-azubi-2026-feinwerkmechaniker-in-maschinenbau-m-w-d
