category,job_title,company,location,email,phone,start_date,job_url
Konditor/in,"Ausbildung Konditor /-in
Bäckerei Wilhelm Geiping GmbH & Co.KG
01.08.2026
59348 Lüdinghausen
Duale Ausbildung
Teilzeit
2 freie Stellen",Bäckerei Wilhelm Geiping GmbH &amp; Co.KG,N/A,navig@or.userlanguage,026 59348,2026-02-20,https://www.azubi.de/ausbildungsplatz/10870848-s-ausbildung-konditor-in
Konditor/in,"Ausbildung zum Konditor (m/w/d) ab September 2026
Backstube Wünsche GmbH
01.09.2026
85080 Gaimersheim
Duale Ausbildung",EDEKA ZENTRALE Stiftung &amp; Co. KG,N/A,navig@or.userlanguage,026 85080,2026-02-17,https://www.azubi.de/ausbildungsplatz/10555747-s-ausbildung-zum-konditor-m-w-d-ab-september-2026
Konditor/in,"Ausbildung Konditor (m/w/d) 2027
Bäckerei-Konditorei Kuhn e.K.
01.09.2027
83626 Valley, Oberbayern
Neu
Duale Ausbildung",Bäckerei-Konditorei Kuhn e.K.,N/A,navig@or.userlanguage,027 83626,2026-02-27,https://www.azubi.de/ausbildungsplatz/11638696-b-ausbildung-konditor-m-w-d-2027
Konditor/in,"Ausbildung Fachverkäufer/in - Lebensmittelhandwerk (Konditorei) (m/w/d)
Cafe Steinhusen GmbH
01.08.2026
23568 Lübeck
Duale Ausbildung",Cafe Steinhusen GmbH,N/A,bewerbung@steinhusen.com,026 23552,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632360-b-ausbildung-fachverkaeufer-in-lebensmittelhandwerk-konditorei-m-w-d
Konditor/in,"Praktikum möglich - Ausbildung 2027 - Konditor/in (m/w/d)
Goldbäckerei Grote GmbH & Co. KG
01.08.2027
58802 Balve
Duale Ausbildung",Goldbäckerei Grote GmbH &amp; Co. KG,N/A,bewerbung@goldbaecker.de,02375 / 2282,2026-02-25,https://www.azubi.de/ausbildungsplatz/11632350-b-praktikum-moeglich-ausbildung-2027-konditor-in-m-w-d
Konditor/in,"Ausbildung zum Fachverkäufer - Lebensmittelhandwerk (Konditorei) (m/w/d) 2026
Konditorei Cafe Schien e. Kfr. Inh. Jessica Simsek
01.08.2026
63450 Hanau
Duale Ausbildung",Konditorei Cafe Schien e. Kfr. Inh. Jessica Simsek,N/A,navig@or.userlanguage,026 63450,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619236-b-ausbildung-zum-fachverkaeufer-lebensmittelhandwerk-konditorei-m-w-d-2026
Konditor/in,"Ausbildung 2026: Konditor/in gesucht! (m/w/d)
Backhaus Lüning GmbH
01.08.2026
55411 Bingen am Rhein
Duale Ausbildung",Backhaus Lüning GmbH,N/A,personal@backhaus-luening.de,026 55411,2026-02-21,https://www.azubi.de/ausbildungsplatz/11619205-b-ausbildung-2026-konditor-in-gesucht-m-w-d
Konditor/in,"Ausbildung 2026
Conditorei am Oberhof Christian Schafnitzel
01.09.2026
88069 Tettnang
Duale Ausbildung",Conditorei am Oberhof Christian Schafnitzel,N/A,navig@or.userlanguage,026 88045,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616746-b-ausbildung-2026
Konditor/in,"Azubis zum/zur Konditor/in (m/w/d)
Bäckerei & Konditorei Raisch GmbH & Co. KG
18.02.2026
75365 Calw
Duale Ausbildung",Bäckerei &amp; Konditorei Raisch GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 71139,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614362-b-azubis-zum-zur-konditor-in-m-w-d
Konditor/in,"Ausbildung zur/ zum Bäcker/in // Konditor/in (m/w/d) in Belgien - Praktikum möglich
Kockartz
01.07.2026
4730 Hauset
Duale Ausbildung",Kockartz,N/A,info@kockartz.be,026 4730,2026-02-19,https://www.azubi.de/ausbildungsplatz/11614335-b-ausbildung-zur-zum-baecker-in-konditor-in-m-w-d-in-belgien-praktikum-moeglich
