category,job_title,company,location,email,phone,start_date,job_url
Notfallsanitäter/in,"Kombinationsausbildung Notfallsanitäter*in - Brandmeister*in
Stadt Wuppertal
01.10.2026
42109 Wuppertal
Duale Ausbildung
2 freie Stellen",Stadt Wuppertal,N/A,mon@e.hierbei,026 42109,2026-02-24,https://www.azubi.de/ausbildungsplatz/10973447-s-kombinationsausbildung-notfallsanitaeter-in-brandmeister-in
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) im Regionalverband Essen
Johanniter-Unfall-Hilfe e.V. Landesverband NRW Landesgeschäftsstelle
01.09.2026
45136 Essen, Ruhr
Neu
Schulische Ausbildung",Johanniter-Unfall-Hilfe e.V. Landesverband NRW Landesgeschäftsstelle,N/A,tcd@a.customvendorconsents,0201 89646-107,2026-02-26,https://www.azubi.de/ausbildungsplatz/11634955-b-ausbildung-zum-notfallsanitaeter-m-w-d-im-regionalverband-essen
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) - Ausbildungsbeginn: 01....
Arbeiter Samariter Bund BW e.V. Reg. Alb&Stauferl.
01.10.2026
89188 Merklingen, Alb
Schulische Ausbildung",Arbeiter Samariter Bund BW e.V. Reg. Alb&amp;Stauferl.,N/A,bewerbung@asb-chance.de,07337 9660-25,2026-02-05,https://www.azubi.de/ausbildungsplatz/11457086-b-ausbildung-zum-notfallsanitaeter-m-w-d-ausbildungsbeginn-01
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d)
Malteser Hilfsdienst gGmbH
01.02.2027
22309 Hamburg
Schulische Ausbildung",Malteser Hilfsdienst gGmbH,N/A,tcd@a.customvendorconsents,027 25524,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449629-b-ausbildung-zum-notfallsanitaeter-m-w-d
Notfallsanitäter/in,"Auszubildende (m/w/d) zum Notfallsanitäter (m/w/d) 2026 Lübeck
Johanniter-Unfall-Hilfe e.V. Landesverband Nord
01.10.2026
23560 Lübeck
Schulische Ausbildung",Johanniter-Unfall-Hilfe e.V. Landesverband Nord,N/A,tcd@a.customvendorconsents,+49 40 570111-667,2026-02-04,https://www.azubi.de/ausbildungsplatz/11449817-b-auszubildende-m-w-d-zum-notfallsanitaeter-m-w-d-2026-luebeck
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d)
Malteser Hilfsdienst e.V.
01.04.2027
48565 Steinfurt, Westfalen
Schulische Ausbildung",Malteser Hilfsdienst e.V.,N/A,tcd@a.customvendorconsents,027 48565,2026-01-29,https://www.azubi.de/ausbildungsplatz/11398524-b-ausbildung-zum-notfallsanitaeter-m-w-d
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) April 2027
Johanniter-Unfall-Hilfe e.V. Landesverband Baden-Württemberg
01.04.2027
70435 Stuttgart, Ludwigsburg, Württemberg
Schulische Ausbildung",Johanniter-Unfall-Hilfe e.V. Landesverband Baden-Württemberg,N/A,bes@zungsmitglieder.das,026 70771,2026-01-24,https://www.azubi.de/ausbildungsplatz/11367952-b-ausbildung-zum-notfallsanitaeter-m-w-d-april-2027
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) April 2027
Johanniter-Unfall-Hilfe e.V. Landesverband Baden-Württemberg
01.04.2027
74523 Schwäbisch Hall
Schulische Ausbildung",Johanniter-Unfall-Hilfe e.V. Landesverband Baden-Württemberg,N/A,eins@z.die,027 74523,2026-01-24,https://www.azubi.de/ausbildungsplatz/11367950-b-ausbildung-zum-notfallsanitaeter-m-w-d-april-2027
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) April 2027
Johanniter-Unfall-Hilfe e.V. Landesverband Baden-Württemberg
01.04.2027
73614 Schorndorf, Württemberg
Schulische Ausbildung",Johanniter-Unfall-Hilfe e.V. Landesverband Baden-Württemberg,N/A,tcd@a.customvendorconsents,026 73035,2026-01-24,https://www.azubi.de/ausbildungsplatz/11367951-b-ausbildung-zum-notfallsanitaeter-m-w-d-april-2027
Notfallsanitäter/in,"Ausbildung Notfallsanitäter (m/w/d)
ASB Regionalverband Unterfranken e.V.
01.09.2026
97421 Schweinfurt
Schulische Ausbildung",ASB Regionalverband Unterfranken e.V.,N/A,tcd@a.customvendorconsents,026 97421,2026-01-17,https://www.azubi.de/ausbildungsplatz/11319290-b-ausbildung-notfallsanitaeter-m-w-d
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) ab April 2027
Johanniter-Unfall-Hilfe e.V. Landesverband Hessen/Rheinland-Pfalz/Saar
01.04.2027
60437 Frankfurt am Main
Schulische Ausbildung",Johanniter-Unfall-Hilfe e.V. Landesverband Hessen/Rheinland-Pfalz/Saar,N/A,tcd@a.customvendorconsents,+49 173 7055124,2026-01-14,https://www.azubi.de/ausbildungsplatz/11285991-b-ausbildung-zum-notfallsanitaeter-m-w-d-ab-april-2027
Notfallsanitäter/in,"Ausbildung Notfallsanitäter*in 2027
Rettungsdienst-Kooperation in Schleswig-Holstein gGmbH Dithmarschen
01.02.2027
25524 Itzehoe+ 9 weitere
Schulische Ausbildung",Rettungsdienst-Kooperation in Schleswig-Holstein gGmbH Dithmarschen,N/A,karriere@rkish.de,027 25524,2025-12-25,https://www.azubi.de/ausbildungsplatz/11177470-b-ausbildung-notfallsanitaeter-in-2027
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) 2026
DRK-Region Hannover e.V.
16.02.2026
30519 Hannover
Schulische Ausbildung",DRK-Region Hannover e.V.,N/A,tcd@a.customvendorconsents,026 30519,2025-10-23,https://www.azubi.de/ausbildungsplatz/10802887-b-ausbildung-zum-notfallsanitaeter-m-w-d-2026
Notfallsanitäter/in,"Ausbildung zum/r Notfallsanitäter/in
BRK Kreisverband Lichtenfels Personalabteilung
01.10.2026
96215 Lichtenfels, Bayern
Schulische Ausbildung",BRK Kreisverband Lichtenfels Personalabteilung,N/A,rdl@kvlichtenfels.brk.de,026 96215,2025-08-08,https://www.azubi.de/ausbildungsplatz/10316305-b-ausbildung-zum-r-notfallsanitaeter-in
Notfallsanitäter/in,"Ausbildung zum / zur Notfallsanitäter*in (m/w/d)
BRK KV Tirschenreuth
01.10.2026
95643 Tirschenreuth
Schulische Ausbildung",BRK KV Tirschenreuth,N/A,tcd@a.customvendorconsents,09631 707515,2025-07-25,https://www.azubi.de/ausbildungsplatz/10250983-b-ausbildung-zum-zur-notfallsanitaeter-in-m-w-d
Notfallsanitäter/in,"Ausbildung zum Notfallsanitäter (m/w/d) 01.04.2026
Rückbrodt GmbH
01.04.2026
37284 Waldkappel
Schulische Ausbildung",Rückbrodt GmbH,N/A,philipp@rueckbrodt.com,0151 280 200 32,2025-05-14,https://www.azubi.de/ausbildungsplatz/9880607-b-ausbildung-zum-notfallsanitaeter-m-w-d-01-04-2026
