category,job_title,company,location,email,phone,start_date,job_url
Kraftfahrzeugmechatroniker/in,"Ausbildung als Kfz-Mechatroniker:in in der Businstandhaltung 2026
Deutsche Bahn AG
Premium
01.08.2026
Oldenburg
Duale Ausbildung",Deutsche Bahn AG,N/A,navig@or.language,026 26349,09.02.2026,https://www.azubi.de/ausbildungsplatz/11584987-p-ausbildung-als-kfz-mechatroniker-in-in-der-businstandhaltung-2026
Kraftfahrzeugmechatroniker/in,"Ausbildung - KFZ-Mechatroniker*in für System- und Hochvoltechnik (m/w/d) 2026
Stadtwerke München GmbH
Premium
01.09.2026
80992 München
Noch 1 Tag online
Duale Ausbildung
5 freie Stellen",Stadtwerke München GmbH,N/A,navig@or.language,089 2361-2198,2026-02-24,https://www.azubi.de/ausbildungsplatz/10355865-p-ausbildung-kfz-mechatroniker-in-fuer-system-und-hochvoltechnik-m-w-d-2026
Kraftfahrzeugmechatroniker/in,"Ausbildung zum KFZ-Mechatroniker (m/w/d)
ALBA Sachsen GmbH
Premium
01.08.2026
06901 Kemberg
Neu
Duale Ausbildung",ALBA Sachsen GmbH,N/A,navig@or.language,026 06886,01.08.2026,https://www.azubi.de/ausbildungsplatz/11638554-p-ausbildung-zum-kfz-mechatroniker-m-w-d
Kraftfahrzeugmechatroniker/in,"Ausbildung zum Kraftfahrzeugmechatroniker mit Schwerpunkt Nutzfahrzeugtechnik (m/w/d)
Bus Verkehr Berlin KG
Premium
01.09.2026
12057 Berlin
1.106 – 1.632 €
1106 bis 1632 €
Neu
kein Anschreiben nötig
Duale Ausbildung
2 freie Stellen",Bus Verkehr Berlin KG,N/A,navig@or.language,030 / 68 38 91 166,2026-02-26,https://www.azubi.de/ausbildungsplatz/11638047-p-ausbildung-zum-kraftfahrzeugmechatroniker-mit-schwerpunkt-nutzfahrzeugtechnik-m-w-d
Kraftfahrzeugmechatroniker/in,"Ausbildung zum KFZ-Mechatroniker (m/w/d)
ALBA Neckar-Alb GmbH & Co. KG
Premium
01.09.2026
72555 Metzingen
Neu
Duale Ausbildung",ALBA Neckar-Alb GmbH & Co. KG,N/A,navig@or.language,026 72793,01.09.2026,https://www.azubi.de/ausbildungsplatz/11638574-p-ausbildung-zum-kfz-mechatroniker-m-w-d
Kraftfahrzeugmechatroniker/in,"Ausbildung: Kfz-Mechatroniker (w/m/d) 2026
DSV Global Transport and Logistics
Premium
01.09.2026
86368 Gersthofen
Neu
kein Anschreiben nötig
Duale Ausbildung",DSV Global Transport and Logistics,N/A,navig@or.language,+49 (0) 821 49007 104,2026-02-27,https://www.azubi.de/ausbildungsplatz/11139762-p-ausbildung-kfz-mechatroniker-w-m-d-2026
Kraftfahrzeugmechatroniker/in,"Ausbildung zum KFZ-Mechatroniker (m/w/d)
ALBA Braunschweig GmbH
Premium
01.08.2026
38122 Braunschweig
Neu
Duale Ausbildung",ALBA Braunschweig GmbH,N/A,navig@or.language,026 38126,01.08.2026,https://www.azubi.de/ausbildungsplatz/11638557-p-ausbildung-zum-kfz-mechatroniker-m-w-d
Kraftfahrzeugmechatroniker/in,"Ausbildung zum KFZ-Mechatroniker Nutzfahrzeuge (m/w/d)
TIP Trailer Services Germany GmbH
01.09.2026
61191 Rosbach vor der Höhe
Neu
Schnellbewerbung
Duale Ausbildung",TIP Trailer Services Germany GmbH,N/A,jobs@tip-group.com,0172 2310797,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642514-s-ausbildung-zum-kfz-mechatroniker-nutzfahrzeuge-m-w-d
Kraftfahrzeugmechatroniker/in,"Ausbildung Kraftfahrzeugmechatroniker*in (m/w/d)
DSW21/DEW21
24.08.2026
44135 Dortmund, Dortmund
Neu
Duale Ausbildung
3 freie Stellen",DSW21 Dortmunder Stadtwerke AG,N/A,startchancen21@dsw21.de,0231 955 2180,2026-02-27,https://www.azubi.de/ausbildungsplatz/10357745-s-ausbildung-kraftfahrzeugmechatroniker-in-m-w-d
Kraftfahrzeugmechatroniker/in,"Ausbildung Kraftfahrzeugmechatronikerin/Kraftfahrzeugmechatroniker (m/w/d) FR Nutzfahrzeugtechnik
Bundeswehr
01.09.2026
91171 Greding
Neu
Duale Ausbildung
2 freie Stellen",Bundeswehr,N/A,bwdlzingolstadtpersutarif@bundeswehr.org,024-00008709,2026-02-27,https://www.azubi.de/ausbildungsplatz/11134452-s-ausbildung-kraftfahrzeugmechatronikerin-kraftfahrzeugmechatroniker-m-w-d-fr-nutzfahrzeugtechnik
