category,job_title,company,location,email,phone,start_date,job_url
Kaufmann/frau für Büromanagement,"Kauffrau/-mann für Büromanagement (m/w/d)
Medizinischer Dienst Bund KdÖR
Premium
01.08.2026
45133 Essen
Duale Ausbildung",Medizinischer Dienst Bund KdÖR,N/A,bewerbung@md-bund.de,0201 8327 150,2026-02-23,https://www.azubi.de/ausbildungsplatz/11280446-p-kauffrau-mann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildungsplatz zur/zum Kauffrau/Kaufmann für Büromanagement (m/w/d)
Landtag von Baden-Württemberg
Premium
01.09.2026
70173 Stuttgart
1.236 – 1.340 €
1236 bis 1340 €
Duale Ausbildung",Landtag von Baden-Württemberg,N/A,navig@or.userlanguage,024/2025,2026-02-24,https://www.azubi.de/ausbildungsplatz/11447612-p-ausbildungsplatz-zur-zum-kauffrau-kaufmann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büromanagement (m/w/d) in 2026
Deutsche Post DHL
Premium
01.08.2026
Straubing
Duale Ausbildung",Deutsche Post DHL,N/A,handicap_naund@dhl.com,026 94315,01.09.2026,https://www.azubi.de/ausbildungsplatz/11209674-p-ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d-in-2026
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann (w/m/d) für Büromanagement
MEDICLIN Bliestal Kliniken
Premium
01.08.2026
66440 Blieskastel
Neu
Duale Ausbildung",MEDICLIN Bliestal Kliniken,N/A,navig@or.userlanguage,025 66440,2026-02-27,https://www.azubi.de/ausbildungsplatz/11618527-p-ausbildung-zum-kaufmann-w-m-d-fuer-bueromanagement
Kaufmann/frau für Büromanagement,"Ausbildung zur/zum Kauffrau/-mann für Büromanagement
Fraunhofer-Institut für Produktionstechnologie IPT
Premium
01.08.2026
Aachen
Duale Ausbildung",Fraunhofer-Institut für Produktionstechnologie IPT,N/A,navig@or.userlanguage,+49 241 8904-108,2026-02-25,https://www.azubi.de/ausbildungsplatz/11246572-p-ausbildung-zur-zum-kauffrau-mann-fuer-bueromanagement
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann für Büromanagement 2026 (m/w/d)
Schwarz Corporate Solutions
Premium
01.09.2026
74172 Neckarsulm
Neu
Duale Ausbildung",Schwarz Corporate Solutions KG,N/A,navig@or.userlanguage,026 74072,2026-02-26,https://www.azubi.de/ausbildungsplatz/10823456-p-ausbildung-zum-kaufmann-fuer-bueromanagement-2026-m-w-d
Kaufmann/frau für Büromanagement,"Duale Ausbildung als Kaufmann/-frau Büromanagement
DFS Deutsche Flugsicherung GmbH
Premium
01.09.2027
63225 Langen (nahe Frankfurt am Main)
1.200 – 1.400 €
1200 bis 1400 €
Duale Ausbildung
Homeoffice möglich
6 freie Stellen",DFS Deutsche Flugsicherung GmbH,N/A,navig@or.userlanguage,+49 6103 707-5104,2026-02-24,https://www.azubi.de/ausbildungsplatz/11447611-p-duale-ausbildung-als-kaufmann-frau-bueromanagement
Kaufmann/frau für Büromanagement,"Ausbildung Kaufleute (m/w/d) für Büromanagement
THOST Projektmanagement GmbH
Premium
01.09.2026
75179 Pforzheim
Neu
Duale Ausbildung",THOST Projektmanagement GmbH,N/A,navig@or.userlanguage,+49 72 31 15 60 888,2026-02-27,https://www.azubi.de/ausbildungsplatz/11366163-p-ausbildung-kaufleute-m-w-d-fuer-bueromanagement
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann für Büromanagement (w/m/d) 2026
Deutsche Bahn AG
Premium
01.09.2026
Ulm
Neu
Duale Ausbildung",Deutsche Bahn AG,N/A,navig@or.userlanguage,026 89077,01.09.2026,https://www.azubi.de/ausbildungsplatz/11638616-p-ausbildung-kaufmann-fuer-bueromanagement-w-m-d-2026
Kaufmann/frau für Büromanagement,"Ausbildung als Kaufmann/Kauffrau für Büromanagement (m/w/d)
Stiftung elektro-altgeräte register
Premium
01.09.2026
90411 Nürnberg
Duale Ausbildung",Stiftung elektro-altgeräte register,N/A,navig@or.userlanguage,+49 911 76665-61,2026-02-26,https://www.azubi.de/ausbildungsplatz/11065330-p-ausbildung-als-kaufmann-kauffrau-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann für Büromanagement | Unternehmenszentrale Santander-Platz (w/m/d)
Santander Consumer Bank AG
Premium
01.08.2026
41061 Mönchengladbach
1.400 – 1.550 €
1400 bis 1550 €
Duale Ausbildung
Homeoffice möglich
3 freie Stellen",Santander Consumer Bank AG,N/A,ausbildung@santander.de,026 50181,2026-02-23,https://www.azubi.de/ausbildungsplatz/10554523-p-ausbildung-kaufmann-fuer-bueromanagement-unternehmenszentrale-santander-platz-w-m-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufleute für Büromanagement (m/w/d)
Bonjean Maler und Lackierer GmbH
Premium
01.08.2026
50739 Köln
Duale Ausbildung",Bonjean Maler und Lackierer GmbH,N/A,michelle.wingen@handwerksgruppe.de,+49221744067,01.08.2026,https://www.azubi.de/ausbildungsplatz/11336072-p-ausbildung-kaufleute-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zur Kauffrau/-mann für Büromanagement (m/w/d)
St. Benno Verlag GmbH
Premium
01.08.2026
04159 Leipzig
Duale Ausbildung",St. Benno Verlag GmbH,N/A,navig@or.userlanguage,0341-46 77 761.,2026-02-23,https://www.azubi.de/ausbildungsplatz/11438171-p-ausbildung-zur-kauffrau-mann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufleute für Büromanagement (d/m/w)
Deutsche Bank AG
Premium
01.08.2026
Berlin
1.400 – 1.550 €
1400 bis 1550 €
Neu
Duale Ausbildung
10 freie Stellen",Deutsche Bank,N/A,navig@or.userlanguage,026 10963,2026-02-27,https://www.azubi.de/ausbildungsplatz/11567313-p-ausbildung-kaufleute-fuer-bueromanagement-d-m-w
Kaufmann/frau für Büromanagement,"Auszubildender zum Kaufmann für Büromanagement (m/w/d)
delta pronatura GmbH // Dr. Beckmann Group
Premium
01.08.2026
63329 Egelsbach
Neu
Duale Ausbildung",delta pronatura GmbH // Dr. Beckmann Group,N/A,navig@or.userlanguage,027 63225,2026-02-27,https://www.azubi.de/ausbildungsplatz/11618525-p-auszubildender-zum-kaufmann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zur Kauffrau / zum Kaufmann für Büromanagement (m/w/d)
ErholungsWerk Post Postbank Telekom e.V.
Premium
01.09.2026
70372 Stuttgart
Duale Ausbildung",ErholungsWerk Post Postbank Telekom e.V.,N/A,navig@or.userlanguage,+49 711 22965 022,2026-02-23,https://www.azubi.de/ausbildungsplatz/11336074-p-ausbildung-zur-kauffrau-zum-kaufmann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Auszubildende zur/zum Kauffrau/-mann für Büromanagement (m/w/d)
Fast Lane Institute for Knowledge Transfer GmbH
Premium
01.08.2026
22761 Hamburg
Neu
Duale Ausbildung
2 freie Stellen",Fast Lane Institute for Knowledge Transfer GmbH,N/A,bewerbung@flane.de,040253346232,2026-02-27,https://www.azubi.de/ausbildungsplatz/11261637-p-auszubildende-zur-zum-kauffrau-mann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Auszubildende/n als Kauffrau / Kaufmann für Büromanagement (m/w/d) in Vollzeit
Baden-Württembergische Krankenhausgesellschaft e.V.
Premium
01.09.2026
70191 Stuttgart
Duale Ausbildung",Baden-Württembergische Krankenhausgesellschaft e.V.,N/A,navig@or.userlanguage,0711 25777,2026-02-26,https://www.azubi.de/ausbildungsplatz/11132804-p-auszubildende-n-als-kauffrau-kaufmann-fuer-bueromanagement-m-w-d-in-vollzeit
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann für Büromanagement (m/w/d)
Peek & Cloppenburg* B.V. & Co. KG, Düsseldorf
Premium
01.08.2026
50181 Bedburg
Duale Ausbildung","Peek &amp; Cloppenburg* B.V. &amp; Co. KG, Düsseldorf",N/A,karriere@peek-cloppenburg.de,04186968,2026-02-21,https://www.azubi.de/ausbildungsplatz/11319054-p-ausbildung-zum-kaufmann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann (w/m/d) für Büromanagement
Power Plus Communications AG
Premium
01.09.2026
68167 Mannheim
1.020 – 1.200 €
1020 bis 1200 €
Duale Ausbildung",Power Plus Communications AG,N/A,ppc-ag-jobs@m.personio.de,09029046,2026-02-25,https://www.azubi.de/ausbildungsplatz/11451594-p-ausbildung-zum-kaufmann-w-m-d-fuer-bueromanagement
Kaufmann/frau für Büromanagement,"Ausbildung Kaufleute für Büromanagement (m/w/d), ab 09/2026
DATEV eG
Premium
01.09.2026
90429 Nürnberg
Duale Ausbildung
Homeoffice möglich",DATEV eG,N/A,ausbildung@datev.de,efon: 0911 / 319-40435,2026-02-25,https://www.azubi.de/ausbildungsplatz/11455177-p-ausbildung-kaufleute-fuer-bueromanagement-m-w-d-ab-09-2026
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann/ zur Kauffrau für Büromanage­ment (m/w/d)
Frankfurt School of Finance & Management gGmbH
Premium
01.09.2026
60322 Frankfurt am Main
Neu
Duale Ausbildung",Frankfurt School of Finance &amp; Management gGmbH,N/A,navig@or.userlanguage,+49 69 154008 - 558,2026-02-27,https://www.azubi.de/ausbildungsplatz/11491775-p-ausbildung-zum-kaufmann-zur-kauffrau-fuer-bueromanage-ment-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann/-frau für Büromanagement (m/w/d)
POS Service Group
Premium
01.08.2026
53547 Hausen (Wied)
Duale Ausbildung",POS Service Group,N/A,navig@or.userlanguage,+49 (0) 2638 - 921 555,2026-02-24,https://www.azubi.de/ausbildungsplatz/11241680-p-ausbildung-zum-kaufmann-frau-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büromanagement 2026 (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Bonn
Duale Ausbildung",Deutsche Post DHL,N/A,mareike.schaefer@dhl.com,+49 228 18974178,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209631-p-ausbildung-kaufmann-frau-fuer-bueromanagement-2026-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann für Büromanagement (m/w/d)
Kaufland
Premium
01.08.2026
37308 Heilbad Heiligenstadt, DE, 37308
1.100 – 1.350 €
1100 bis 1350 €
Neu
Duale Ausbildung",Kaufland,N/A,navig@or.userlanguage,026 37249,2026-02-27,https://www.azubi.de/ausbildungsplatz/10756873-p-ausbildung-zum-kaufmann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann für Büromanagement 08.2026 (m/w/d)
Lidl Dienstleistung GmbH & Co. KG
Premium
01.08.2026
33106 Paderborn
Noch 1 Tag online
Duale Ausbildung",Lidl Dienstleistung GmbH & Co. KG,N/A,navig@or.userlanguage,026 33098,03.08.2026,https://www.azubi.de/ausbildungsplatz/11560442-p-ausbildung-kaufmann-fuer-bueromanagement-08-2026-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büro Management (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Wustermark
Duale Ausbildung",Deutsche Post DHL,N/A,andrea.pietsch@dhl.com,026 10719,01.09.2026,https://www.azubi.de/ausbildungsplatz/11568014-p-ausbildung-kaufmann-frau-fuer-buero-management-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kauffrau/-mann für Büromanagement (m/w/d)
ENGIE Deutschland GmbH
Premium
01.08.2026
Krefeld
Duale Ausbildung",ENGIE Deutschland GmbH,N/A,navig@or.userlanguage,026 41061,2026-02-26,https://www.azubi.de/ausbildungsplatz/10997638-p-ausbildung-kauffrau-mann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zur*zum Kauffrau*mann (m/w/d) für Büromanagement
Duale Hochschule Baden-Württemberg Stuttgart
Premium
01.09.2026
70197 Stuttgart
Noch 2 Tage online
Duale Ausbildung",Duale Hochschule Baden-Württemberg Stuttgart,N/A,theresa.komposch@dhbw-stuttgart.de,026 70173,01.08.2026,https://www.azubi.de/ausbildungsplatz/11437334-p-ausbildung-zur-zum-kauffrau-mann-m-w-d-fuer-bueromanagement
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büromanagement (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Köln
Neu
Duale Ausbildung",Deutsche Post DHL,N/A,navig@or.userlanguage,+49 (0)2203/9170-726,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209401-p-ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung als Kauffrau/-mann für Büromanagement (m/w/d)
DRK-Kreisverband Heilbronn e.V.
Premium
01.09.2026
74072 Heilbronn
Noch 3 Tage online
Duale Ausbildung",DRK-Kreisverband Heilbronn e.V.,N/A,navig@or.userlanguage,026 74172,01.09.2026,https://www.azubi.de/ausbildungsplatz/10980644-p-ausbildung-als-kauffrau-mann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann für Büromanagement (m/w/d) 2026
Otto Building Technologies GmbH
Premium
01.08.2026
57319 Bad Berleburg
1.090 – 1.290 €
1090 bis 1290 €
Duale Ausbildung
2 freie Stellen",Otto Building Technologies GmbH,N/A,navig@or.userlanguage,+49 271 387851-280,2026-02-23,https://www.azubi.de/ausbildungsplatz/10734516-p-ausbildung-zum-kaufmann-fuer-bueromanagement-m-w-d-2026
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büromanagement (m/w/d)
Campus Berufsbildung e. V.
Premium
24.08.2026
10627 Berlin
Schnellbewerbung
Duale Ausbildung
10 freie Stellen",Campus Berufsbildung e. V.,N/A,m.hoeglmeier@campus-bb.de,030 515668-210,2026-02-24,https://www.azubi.de/ausbildungsplatz/11526908-p-ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung zum Kaufmann für Büromanagement (m/w/d)
Bundesanstalt für Finanzdienstleistungsaufsicht BaFin
Premium
01.08.2026
60439 Frankfurt am Main
1.368 €
1368 €
Duale Ausbildung
Teilzeit",Bundesanstalt für Finanzdienstleistungsaufsicht BaFin,N/A,ausbildung@bafin.de,026 60318,01.08.2026,https://www.azubi.de/ausbildungsplatz/11551813-p-ausbildung-zum-kaufmann-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Auszubildende im Büromanagement (m/w/d)
Irrenhauser & Seitz GmbH & Co. KG
Premium
16.01.2026
85302 Gerolsbach
Neu
Duale Ausbildung",Irrenhauser &amp; Seitz GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 86565,2026-02-26,https://www.azubi.de/ausbildungsplatz/11317186-p-auszubildende-im-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büromanagement (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Köln
Duale Ausbildung",Deutsche Post DHL,N/A,thomas.becht@dhl.com,026 50739,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209668-p-ausbildung-kaufmann-frau-fuer-bueromanagement-m-w-d
Kaufmann/frau für Büromanagement,"Ausbildung Kaufmann/-frau für Büromanagement 2026 (m/w/d)
Deutsche Post DHL
Premium
01.08.2026
Staufenberg
Duale Ausbildung",Deutsche Post DHL,N/A,pedro.vilaca@dhl.com,+49 2575 9777372,01.08.2026,https://www.azubi.de/ausbildungsplatz/11209654-p-ausbildung-kaufmann-frau-fuer-bueromanagement-2026-m-w-d
