category,job_title,company,location,email,phone,start_date,job_url
Hotelfachmann/frau,"Auszubildende/r Hotelfachfrau/-mann (m/w/d) 2026
Nürburgring Holding GmbH, Nürburgring Hotels und Ferienpark
Premium
01.08.2026
53520 Nürburg
1.100 – 1.300 €
1100 bis 1300 €
Duale Ausbildung","Nürburgring Holding GmbH, Nürburgring Hotels und Ferienpark",N/A,navig@or.userlanguage,+49 2691 3025 451,2026-02-24,https://www.azubi.de/ausbildungsplatz/11632146-p-auszubildende-r-hotelfachfrau-mann-m-w-d-2026
Hotelfachmann/frau,"Ausbildung Hotelfachmann:frau (m/w/d) mit Zusatzqualifikation Hotelmanagement
BASF
Premium
01.09.2026
67056 67056 Ludwigshafen am Rhein
Neu
Duale Ausbildung",BASF,N/A,lina.wehr@basf.com,+49 30 2005-56745 /,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642267-p-ausbildung-hotelfachmann-frau-m-w-d-mit-zusatzqualifikation-hotelmanagement
Hotelfachmann/frau,"Ausbildung Hotelfachmann/-frau
Landhaus ""Zu den Rothen Forellen""
01.08.2026
38871 Ilsenburg
Neu
Schnellbewerbung
Duale Ausbildung
2 freie Stellen",Privathotels Dr. Lohbeck GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 38879,2026-02-28,https://www.azubi.de/ausbildungsplatz/10441491-s-ausbildung-hotelfachmann-frau
Hotelfachmann/frau,"Hotelfachmann (w/m/d) 2026
Siemens AG
01.09.2026
82340 Feldafing
Duale Ausbildung",Siemens AG,N/A,navig@or.userlanguage,026 82340,2026-02-24,https://www.azubi.de/ausbildungsplatz/9979876-s-hotelfachmann-w-m-d-2026
Hotelfachmann/frau,"Hotelfachmann/-frau (m/w/d)
Strauss GmbH & Co. KG
01.08.2026
63599 Biebergemünd
Duale Ausbildung",engelbert strauss GmbH &amp; Co. KG,N/A,navig@or.userlanguage,026 63599,2026-02-21,https://www.azubi.de/ausbildungsplatz/10190232-s-hotelfachmann-frau-m-w-d
Hotelfachmann/frau,"Auszubildende/r Hotelfachfrau/-mann (m/w/d)
Lindner Hotels & Resorts
01.09.2026
40547 Düsseldorf - Deutschland
Duale Ausbildung",Lindner Hotels &amp; Resorts,N/A,navig@or.userlanguage,026 40213,2026-02-20,https://www.azubi.de/ausbildungsplatz/11616934-s-auszubildende-r-hotelfachfrau-mann-m-w-d
Hotelfachmann/frau,"Ausbildung Hotelfachmann/-frau (m/w/d) optional mit ZQ BWL in Hotellerie und Gastronomie
Schlosshotel Kronberg
01.08.2026
61476 Kronberg
Duale Ausbildung
2 freie Stellen",Schlosshotel Kronberg,N/A,bewerbung@schlosshotel-kronberg.de,0349839,2026-02-20,https://www.azubi.de/ausbildungsplatz/11475667-s-ausbildung-hotelfachmann-frau-m-w-d-optional-mit-zq-bwl-in-hotellerie-und-gastronomie
Hotelfachmann/frau,"2026 Ausbildung Hotelfachmann/-frau Rostock-Warnemünde
Hotel Neptun Betriebsgesellschaft mbH
01.08.2026
18119 Rostock-Warnemünde
Duale Ausbildung",Hotel Neptun Betriebsgesellschaft mbH,N/A,navig@or.userlanguage,026 18119,2026-02-19,https://www.azubi.de/ausbildungsplatz/10749340-s-2026-ausbildung-hotelfachmann-frau-rostock-warnemuende
Hotelfachmann/frau,"Ausbildung Hotelfachmann/-frau (m/w/d) | DO & CO Hotel Munich
DO & CO
01.09.2026
80333 München
Duale Ausbildung",DO &amp; CO,N/A,navig@or.userlanguage,0695501,2026-02-18,https://www.azubi.de/ausbildungsplatz/11608804-s-ausbildung-hotelfachmann-frau-m-w-d-do-co-hotel-munich
Hotelfachmann/frau,"Ausbildung zum Hotelfachfrau/-mann
Die Alte Goethe Apotheke Betriebsges. mbH
03.08.2026
02625 Bautzen, Sachsen
Neu
Duale Ausbildung",Die Alte Goethe Apotheke Betriebsges. mbH,N/A,bewerbung@moments-hotel.de,+49 3591 2035722,2026-02-28,https://www.azubi.de/ausbildungsplatz/11642316-b-ausbildung-zum-hotelfachfrau-mann
